Time,AI,AV
1.088169999999999971e-01,5.266050000000000003e-11,1.240080000000000027e+01
2.441159999999999997e-01,4.015090000000000091e-11,1.240080000000000027e+01
3.794080000000000230e-01,3.601090000000000279e-11,1.240080000000000027e+01
5.147059999999999969e-01,3.392149999999999758e-11,1.240080000000000027e+01
6.500329999999999719e-01,3.258299999999999879e-11,1.240080000000000027e+01
7.853740000000000165e-01,3.145350000000000285e-11,1.240080000000000027e+01
9.206889999999999796e-01,3.067379999999999881e-11,1.240080000000000027e+01
1.056000000000000050e+00,3.004509999999999766e-11,1.240080000000000027e+01
1.191349999999999909e+00,2.949509999999999697e-11,1.240080000000000027e+01
1.326670000000000016e+00,2.905379999999999884e-11,1.240080000000000027e+01
1.462010000000000032e+00,2.861090000000000121e-11,1.240080000000000027e+01
1.597390000000000088e+00,2.839589999999999859e-11,1.240080000000000027e+01
1.732720000000000038e+00,2.791549999999999914e-11,1.240080000000000027e+01
1.868039999999999923e+00,2.777649999999999903e-11,1.240080000000000027e+01
2.003420000000000201e+00,2.763470000000000139e-11,1.240080000000000027e+01
2.138759999999999994e+00,2.748160000000000116e-11,1.240080000000000027e+01
2.274070000000000036e+00,2.720249999999999925e-11,1.240080000000000027e+01
2.409450000000000092e+00,2.713290000000000124e-11,1.240080000000000027e+01
2.544789999999999885e+00,2.709039999999999855e-11,1.240080000000000027e+01
2.680120000000000058e+00,2.662370000000000095e-11,1.240080000000000027e+01
2.815479999999999983e+00,2.657129999999999927e-11,1.240080000000000027e+01
2.950810000000000155e+00,2.637209999999999907e-11,1.240080000000000027e+01
3.086149999999999949e+00,2.643439999999999973e-11,1.240080000000000027e+01
3.221509999999999874e+00,2.626859999999999977e-11,1.240080000000000027e+01
3.356840000000000046e+00,2.612350000000000031e-11,1.240080000000000027e+01
3.492179999999999840e+00,2.605469999999999883e-11,1.240080000000000027e+01
3.627540000000000209e+00,2.592079999999999917e-11,1.240080000000000027e+01
