Time,AI,AV
1.087410000000000043e-01,2.295079999999999870e-11,5.000609999999999999e+00
2.440299999999999969e-01,1.758180000000000087e-11,5.000609999999999999e+00
3.793679999999999830e-01,1.565540000000000133e-11,5.000609999999999999e+00
5.146760000000000224e-01,1.451979999999999958e-11,5.000609999999999999e+00
6.500219999999999887e-01,1.388250000000000027e-11,5.000600000000000378e+00
7.854079999999999950e-01,1.333670000000000072e-11,5.000600000000000378e+00
9.207469999999999821e-01,1.282870000000000005e-11,5.000609999999999999e+00
1.056100000000000039e+00,1.260410000000000039e-11,5.000609999999999999e+00
1.191429999999999989e+00,1.247409999999999993e-11,5.000600000000000378e+00
1.326799999999999979e+00,1.214130000000000038e-11,5.000609999999999999e+00
1.462139999999999995e+00,1.200340000000000033e-11,5.000609999999999999e+00
1.597450000000000037e+00,1.178860000000000007e-11,5.000600000000000378e+00
1.732769999999999921e+00,1.157979999999999959e-11,5.000600000000000378e+00
1.868120000000000003e+00,1.150739999999999921e-11,5.000600000000000378e+00
2.003490000000000215e+00,1.143229999999999926e-11,5.000609999999999999e+00
2.138840000000000074e+00,1.133790000000000079e-11,5.000609999999999999e+00
2.274199999999999999e+00,1.127330000000000044e-11,5.000600000000000378e+00
2.409549999999999859e+00,1.111109999999999938e-11,5.000609999999999999e+00
2.544900000000000162e+00,1.102430000000000019e-11,5.000609999999999999e+00
2.680229999999999890e+00,1.087639999999999998e-11,5.000609999999999999e+00
2.815570000000000128e+00,1.098159999999999998e-11,5.000600000000000378e+00
2.950889999999999791e+00,1.085979999999999943e-11,5.000609999999999999e+00
3.086230000000000029e+00,1.078469999999999947e-11,5.000609999999999999e+00
3.221589999999999954e+00,1.068900000000000020e-11,5.000609999999999999e+00
3.356930000000000192e+00,1.074489999999999958e-11,5.000600000000000378e+00
3.492269999999999985e+00,1.072919999999999996e-11,5.000600000000000378e+00
3.627609999999999779e+00,1.068000000000000054e-11,5.000609999999999999e+00
3.762960000000000083e+00,1.056890000000000033e-11,5.000609999999999999e+00
3.898299999999999876e+00,1.055559999999999998e-11,5.000609999999999999e+00
4.033649999999999736e+00,1.043999999999999994e-11,5.000609999999999999e+00
4.168999999999999595e+00,1.057440000000000066e-11,5.000600000000000378e+00
4.304319999999999702e+00,1.043320000000000042e-11,5.000609999999999999e+00
4.439659999999999940e+00,1.042760000000000052e-11,5.000600000000000378e+00
4.574989999999999668e+00,1.048539999999999973e-11,5.000609999999999999e+00
4.710320000000000285e+00,1.029169999999999986e-11,5.000609999999999999e+00
4.845670000000000144e+00,1.037059999999999945e-11,5.000609999999999999e+00
4.980990000000000251e+00,1.039980000000000018e-11,5.000600000000000378e+00
5.116329999999999600e+00,1.023850000000000004e-11,5.000600000000000378e+00
5.251680000000000348e+00,1.031420000000000062e-11,5.000609999999999999e+00
5.387019999999999698e+00,1.029970000000000063e-11,5.000609999999999999e+00
5.522389999999999688e+00,1.026370000000000038e-11,5.000600000000000378e+00
5.657750000000000057e+00,1.016150000000000027e-11,5.000609999999999999e+00
5.793110000000000426e+00,1.026009999999999987e-11,5.000609999999999999e+00
5.928469999999999906e+00,1.017160000000000000e-11,5.000609999999999999e+00
6.063790000000000013e+00,1.017890000000000058e-11,5.000600000000000378e+00
6.199160000000000004e+00,1.006089999999999967e-11,5.000609999999999999e+00
6.334500000000000242e+00,1.009099999999999971e-11,5.000609999999999999e+00
6.469839999999999591e+00,1.003250000000000032e-11,5.000609999999999999e+00
6.605179999999999829e+00,1.012210000000000026e-11,5.000609999999999999e+00
6.740529999999999688e+00,1.007000000000000051e-11,5.000609999999999999e+00
6.875860000000000305e+00,1.017049999999999993e-11,5.000609999999999999e+00
7.011180000000000412e+00,1.002159999999999922e-11,5.000600000000000378e+00
7.146510000000000140e+00,1.002100000000000021e-11,5.000600000000000378e+00
7.281859999999999999e+00,1.012449999999999952e-11,5.000609999999999999e+00
7.417189999999999728e+00,1.009479999999999935e-11,5.000609999999999999e+00
7.552550000000000097e+00,9.914550000000000804e-12,5.000609999999999999e+00
7.687879999999999825e+00,9.984590000000000776e-12,5.000609999999999999e+00
7.823210000000000441e+00,9.914550000000000804e-12,5.000609999999999999e+00
