Time,AI,AV
1.088480000000000003e-01,1.295069999999999974e-11,3.000469999999999970e+00
2.441740000000000022e-01,9.846819999999999840e-12,3.000469999999999970e+00
3.794870000000000188e-01,8.702190000000000505e-12,3.000480000000000036e+00
5.148209999999999731e-01,8.190030000000000797e-12,3.000480000000000036e+00
6.501350000000000184e-01,7.746650000000000722e-12,3.000469999999999970e+00
7.854370000000000518e-01,7.436199999999999354e-12,3.000469999999999970e+00
9.207419999999999494e-01,7.150570000000000297e-12,3.000480000000000036e+00
1.056049999999999933e+00,7.006069999999999853e-12,3.000480000000000036e+00
1.191349999999999909e+00,6.917100000000000081e-12,3.000480000000000036e+00
1.326670000000000016e+00,6.843059999999999722e-12,3.000469999999999970e+00
1.461980000000000057e+00,6.542919999999999751e-12,3.000469999999999970e+00
1.597299999999999942e+00,6.532820000000000026e-12,3.000469999999999970e+00
1.732650000000000023e+00,6.518519999999999976e-12,3.000469999999999970e+00
1.867979999999999974e+00,6.356350000000000072e-12,3.000469999999999970e+00
2.003299999999999859e+00,6.369599999999999839e-12,3.000480000000000036e+00
2.138650000000000162e+00,6.259809999999999759e-12,3.000469999999999970e+00
2.273979999999999890e+00,6.209119999999999699e-12,3.000480000000000036e+00
2.409299999999999997e+00,5.993529999999999807e-12,3.000480000000000036e+00
2.544620000000000104e+00,6.046529999999999682e-12,3.000480000000000036e+00
2.679940000000000211e+00,6.021289999999999681e-12,3.000480000000000036e+00
2.815269999999999939e+00,5.815800000000000321e-12,3.000480000000000036e+00
2.950579999999999981e+00,5.868170000000000026e-12,3.000469999999999970e+00
3.085900000000000087e+00,5.805699999999999788e-12,3.000469999999999970e+00
3.221229999999999816e+00,5.703900000000000364e-12,3.000480000000000036e+00
3.356549999999999923e+00,5.875319999999999647e-12,3.000480000000000036e+00
3.491849999999999898e+00,5.800019999999999756e-12,3.000480000000000036e+00
3.627200000000000202e+00,5.708320000000000056e-12,3.000480000000000036e+00
3.762529999999999930e+00,5.755009999999999729e-12,3.000469999999999970e+00
3.897850000000000037e+00,5.654259999999999779e-12,3.000480000000000036e+00
4.033170000000000144e+00,5.675080000000000088e-12,3.000480000000000036e+00
4.168510000000000382e+00,5.664360000000000312e-12,3.000480000000000036e+00
4.303810000000000358e+00,5.656579999999999713e-12,3.000480000000000036e+00
4.439160000000000217e+00,5.511449999999999906e-12,3.000469999999999970e+00
4.574489999999999945e+00,5.535840000000000371e-12,3.000480000000000036e+00
4.709810000000000052e+00,5.455499999999999928e-12,3.000480000000000036e+00
4.845159999999999911e+00,5.579800000000000115e-12,3.000480000000000036e+00
4.980480000000000018e+00,5.370310000000000368e-12,3.000480000000000036e+00
5.115809999999999746e+00,5.490410000000000230e-12,3.000469999999999970e+00
5.251129999999999853e+00,5.403120000000000104e-12,3.000469999999999970e+00
5.386449999999999960e+00,5.418479999999999748e-12,3.000480000000000036e+00
5.521770000000000067e+00,5.338550000000000108e-12,3.000480000000000036e+00
5.657079999999999664e+00,5.388820000000000054e-12,3.000480000000000036e+00
5.792390000000000150e+00,5.375150000000000174e-12,3.000480000000000036e+00
5.927710000000000257e+00,5.593259999999999938e-12,3.000480000000000036e+00
6.063039999999999985e+00,5.394920000000000200e-12,3.000469999999999970e+00
6.198360000000000092e+00,5.434880000000000365e-12,3.000480000000000036e+00
6.333689999999999820e+00,5.586320000000000374e-12,3.000480000000000036e+00
6.469000000000000306e+00,5.519229999999999697e-12,3.000480000000000036e+00
6.604370000000000296e+00,5.367160000000000326e-12,3.000480000000000036e+00
6.739729999999999777e+00,5.444770000000000033e-12,3.000480000000000036e+00
6.875090000000000146e+00,5.435089999999999614e-12,3.000480000000000036e+00
7.010390000000000121e+00,5.378939999999999696e-12,3.000490000000000101e+00
7.145749999999999602e+00,5.421839999999999847e-12,3.000480000000000036e+00
7.281109999999999971e+00,5.352640000000000101e-12,3.000480000000000036e+00
7.416400000000000325e+00,5.346539999999999956e-12,3.000480000000000036e+00
7.551730000000000054e+00,5.345489999999999672e-12,3.000480000000000036e+00
7.687059999999999782e+00,5.267249999999999796e-12,3.000480000000000036e+00
7.822390000000000398e+00,5.240750000000000262e-12,3.000480000000000036e+00
7.957720000000000127e+00,5.311839999999999710e-12,3.000469999999999970e+00
8.093049999999999855e+00,5.145470000000000288e-12,3.000469999999999970e+00
8.228379999999999583e+00,5.308680000000000357e-12,3.000480000000000036e+00
8.363699999999999690e+00,5.289749999999999750e-12,3.000480000000000036e+00
