Time,AI,AV
1.089050000000000018e-01,-1.114999999999999995e-11,1.441079999999999931e-05
2.442999999999999894e-01,-1.129490000000000027e-11,1.441079999999999931e-05
3.796959999999999780e-01,-1.115759999999999923e-11,1.407629999999999938e-05
5.150639999999999663e-01,-1.101139999999999971e-11,1.403449999999999921e-05
6.504799999999999471e-01,-1.096429999999999923e-11,1.407629999999999938e-05
7.858540000000000525e-01,-1.084229999999999955e-11,1.415989999999999973e-05
9.212380000000000013e-01,-1.077119999999999999e-11,1.457810000000000024e-05
1.056650000000000089e+00,-1.077009999999999992e-11,1.424360000000000030e-05
1.192059999999999897e+00,-1.069759999999999998e-11,1.441079999999999931e-05
1.327479999999999993e+00,-1.079959999999999934e-11,1.491260000000000017e-05
1.462860000000000049e+00,-1.064330000000000010e-11,1.432720000000000066e-05
1.598270000000000080e+00,-1.052720000000000062e-11,1.461990000000000041e-05
1.733659999999999979e+00,-1.045150000000000005e-11,1.424350000000000008e-05
1.869050000000000100e+00,-1.045740000000000025e-11,1.411809999999999956e-05
2.004490000000000105e+00,-1.033269999999999938e-11,1.457810000000000024e-05
2.139879999999999782e+00,-1.021069999999999970e-11,1.407629999999999938e-05
2.275269999999999904e+00,-1.034529999999999955e-11,1.461990000000000041e-05
2.410620000000000207e+00,-1.012990000000000029e-11,1.395090000000000055e-05
2.545999999999999819e+00,-1.005740000000000034e-11,1.470350000000000076e-05
2.681389999999999940e+00,-1.010530000000000057e-11,1.369990000000000075e-05
2.816780000000000062e+00,-1.010029999999999968e-11,1.399270000000000072e-05
2.952179999999999804e+00,-9.961059999999999967e-12,1.453630000000000006e-05
3.087600000000000122e+00,-9.923410000000000425e-12,1.453630000000000006e-05
3.222999999999999865e+00,-9.801429999999999364e-12,1.466170000000000059e-05
3.358379999999999921e+00,-9.728660000000000270e-12,1.457810000000000024e-05
3.493770000000000042e+00,-9.725500000000000110e-12,1.382539999999999980e-05
3.629179999999999851e+00,-9.643270000000000773e-12,1.432720000000000066e-05
3.764580000000000037e+00,-9.596999999999999598e-12,1.436900000000000083e-05
3.899970000000000159e+00,-9.517079999999999268e-12,1.478719999999999964e-05
4.035389999999999588e+00,-9.421590000000000045e-12,1.466170000000000059e-05
4.170790000000000219e+00,-9.412129999999999801e-12,1.407629999999999938e-05
4.306149999999999700e+00,-9.455030000000000759e-12,1.503809999999999922e-05
