Time,AI,AV
6.492449999999999610e-02,-4.266560000000000205e-10,3.000159999999999982e+01
1.992810000000000137e-01,1.548730000000000038e-10,3.000159999999999982e+01
3.336160000000000236e-01,1.377259999999999905e-10,3.000159999999999982e+01
4.679269999999999818e-01,1.289570000000000128e-10,3.000159999999999982e+01
6.022570000000000423e-01,1.233409999999999931e-10,3.000150000000000006e+01
7.365869999999999918e-01,1.195439999999999906e-10,3.000169999999999959e+01
8.708970000000000322e-01,1.169270000000000037e-10,3.000159999999999982e+01
1.005220000000000002e+00,1.146829999999999983e-10,3.000159999999999982e+01
1.139550000000000063e+00,1.130059999999999973e-10,3.000159999999999982e+01
1.273870000000000058e+00,1.114550000000000044e-10,3.000159999999999982e+01
1.408179999999999987e+00,1.102660000000000021e-10,3.000150000000000006e+01
1.542489999999999917e+00,1.094339999999999992e-10,3.000159999999999982e+01
1.676849999999999952e+00,1.085419999999999985e-10,3.000159999999999982e+01
1.811199999999999921e+00,1.077659999999999978e-10,3.000159999999999982e+01
1.945540000000000047e+00,1.072629999999999997e-10,3.000159999999999982e+01
2.079930000000000057e+00,1.066389999999999975e-10,3.000159999999999982e+01
2.214280000000000026e+00,1.060229999999999993e-10,3.000159999999999982e+01
2.348619999999999930e+00,1.057739999999999958e-10,3.000159999999999982e+01
2.482979999999999965e+00,1.052859999999999971e-10,3.000159999999999982e+01
2.617340000000000000e+00,1.048560000000000048e-10,3.000159999999999982e+01
2.751689999999999969e+00,1.044700000000000022e-10,3.000150000000000006e+01
2.886050000000000004e+00,1.043189999999999993e-10,3.000159999999999982e+01
3.020399999999999974e+00,1.038690000000000034e-10,3.000159999999999982e+01
3.154739999999999878e+00,1.035830000000000056e-10,3.000169999999999959e+01
3.289120000000000044e+00,1.033220000000000026e-10,3.000159999999999982e+01
3.423439999999999817e+00,1.029620000000000033e-10,3.000159999999999982e+01
3.557789999999999786e+00,1.027579999999999982e-10,3.000150000000000006e+01
3.692110000000000003e+00,1.024660000000000006e-10,3.000159999999999982e+01
