Time,AI,AV
1.086730000000000057e-01,-1.602790000000000121e-11,-2.999620000000000175e+00
2.439769999999999994e-01,-1.267840000000000058e-11,-2.999629999999999797e+00
3.793159999999999865e-01,-1.133090000000000052e-11,-2.999620000000000175e+00
5.146460000000000479e-01,-1.046670000000000022e-11,-2.999629999999999797e+00
6.499660000000000437e-01,-9.997229999999999802e-12,-2.999620000000000175e+00
7.852999999999999980e-01,-9.653149999999999515e-12,-2.999620000000000175e+00
9.206130000000000146e-01,-9.325479999999999963e-12,-2.999620000000000175e+00
1.055949999999999944e+00,-9.030610000000000029e-12,-2.999620000000000175e+00
1.191279999999999895e+00,-8.890329999999999338e-12,-2.999620000000000175e+00
1.326589999999999936e+00,-8.603670000000000234e-12,-2.999610000000000110e+00
1.461929999999999952e+00,-8.612500000000000309e-12,-2.999620000000000175e+00
1.597259999999999902e+00,-8.447820000000000651e-12,-2.999620000000000175e+00
1.732580000000000009e+00,-8.247809999999999770e-12,-2.999629999999999797e+00
1.867920000000000025e+00,-8.130660000000000011e-12,-2.999629999999999797e+00
2.003270000000000106e+00,-8.106060000000000298e-12,-2.999629999999999797e+00
2.138560000000000016e+00,-8.000060000000000548e-12,-2.999620000000000175e+00
2.273870000000000058e+00,-7.889220000000000184e-12,-2.999629999999999797e+00
2.409190000000000165e+00,-7.936119999999999913e-12,-2.999629999999999797e+00
2.544490000000000141e+00,-7.789319999999999771e-12,-2.999620000000000175e+00
2.679850000000000065e+00,-7.866299999999999308e-12,-2.999620000000000175e+00
2.815199999999999925e+00,-7.791210000000000281e-12,-2.999620000000000175e+00
2.950499999999999901e+00,-7.702459999999999877e-12,-2.999629999999999797e+00
3.085859999999999825e+00,-7.681219999999999455e-12,-2.999629999999999797e+00
3.221179999999999932e+00,-7.635370000000000008e-12,-2.999620000000000175e+00
3.356500000000000039e+00,-7.689209999999999302e-12,-2.999620000000000175e+00
3.491859999999999964e+00,-7.523059999999999248e-12,-2.999620000000000175e+00
3.627180000000000071e+00,-7.554180000000000028e-12,-2.999629999999999797e+00
3.762500000000000178e+00,-7.582789999999999439e-12,-2.999620000000000175e+00
3.897829999999999906e+00,-7.449659999999999985e-12,-2.999620000000000175e+00
4.033159999999999634e+00,-7.320309999999999935e-12,-2.999620000000000175e+00
4.168490000000000251e+00,-7.351860000000000139e-12,-2.999620000000000175e+00
4.303819999999999979e+00,-7.453649999999999446e-12,-2.999620000000000175e+00
4.439140000000000086e+00,-7.449449999999999928e-12,-2.999629999999999797e+00
4.574469999999999814e+00,-7.307059999999999361e-12,-2.999629999999999797e+00
4.709800000000000431e+00,-7.326619999999999330e-12,-2.999620000000000175e+00
4.845100000000000406e+00,-7.214310000000000185e-12,-2.999629999999999797e+00
4.980419999999999625e+00,-7.287079999999999278e-12,-2.999620000000000175e+00
5.115750000000000242e+00,-7.282240000000000280e-12,-2.999629999999999797e+00
5.251070000000000348e+00,-7.250070000000000025e-12,-2.999620000000000175e+00
5.386389999999999567e+00,-7.363010000000000147e-12,-2.999620000000000175e+00
5.521720000000000184e+00,-7.269840000000000050e-12,-2.999620000000000175e+00
5.657029999999999781e+00,-7.216199999999999887e-12,-2.999620000000000175e+00
5.792379999999999640e+00,-7.300119999999999796e-12,-2.999629999999999797e+00
5.927710000000000257e+00,-7.305800000000000636e-12,-2.999620000000000175e+00
6.063060000000000116e+00,-7.352910000000000422e-12,-2.999620000000000175e+00
6.198409999999999975e+00,-7.246699999999999808e-12,-2.999639999999999862e+00
6.333730000000000082e+00,-7.264790000000000188e-12,-2.999620000000000175e+00
6.469059999999999810e+00,-7.265629999999999607e-12,-2.999629999999999797e+00
6.604420000000000179e+00,-7.210950000000000086e-12,-2.999620000000000175e+00
6.739760000000000417e+00,-7.178140000000000350e-12,-2.999620000000000175e+00
6.875079999999999636e+00,-7.159209999999999743e-12,-2.999620000000000175e+00
7.010419999999999874e+00,-6.985910000000000068e-12,-2.999620000000000175e+00
7.145769999999999733e+00,-7.051949999999999653e-12,-2.999620000000000175e+00
7.281089999999999840e+00,-7.045220000000000145e-12,-2.999620000000000175e+00
7.416450000000000209e+00,-7.180030000000000052e-12,-2.999620000000000175e+00
7.551779999999999937e+00,-7.151219999999999895e-12,-2.999620000000000175e+00
7.687129999999999797e+00,-7.030069999999999750e-12,-2.999629999999999797e+00
7.822479999999999656e+00,-7.013669999999999941e-12,-2.999620000000000175e+00
7.957799999999999763e+00,-6.997049999999999958e-12,-2.999620000000000175e+00
8.093130000000000379e+00,-7.078870000000000108e-12,-2.999620000000000175e+00
8.228490000000000748e+00,-7.054680000000000390e-12,-2.999620000000000175e+00
8.363810000000000855e+00,-6.888530000000000335e-12,-2.999620000000000175e+00
8.499159999999999826e+00,-6.998319999999999608e-12,-2.999620000000000175e+00
8.634510000000000574e+00,-7.040799999999999645e-12,-2.999629999999999797e+00
8.769819999999999283e+00,-7.071300000000000373e-12,-2.999629999999999797e+00
8.905150000000000787e+00,-7.074869999999999721e-12,-2.999629999999999797e+00
9.040490000000000137e+00,-7.030069999999999750e-12,-2.999629999999999797e+00
9.175810000000000244e+00,-6.992430000000000327e-12,-2.999620000000000175e+00
9.311159999999999215e+00,-6.999579999999999948e-12,-2.999629999999999797e+00
9.446519999999999584e+00,-7.134809999999999968e-12,-2.999620000000000175e+00
9.581830000000000069e+00,-6.996839999999999901e-12,-2.999620000000000175e+00
9.717159999999999798e+00,-6.855929999999999848e-12,-2.999620000000000175e+00
