Time,AI,AV
1.090819999999999984e-01,7.586870000000000447e-11,1.240090000000000003e+01
2.443569999999999909e-01,5.302999999999999679e-11,1.240090000000000003e+01
3.796660000000000035e-01,4.564129999999999779e-11,1.240080000000000027e+01
5.149829999999999686e-01,4.198049999999999788e-11,1.240080000000000027e+01
6.502529999999999699e-01,3.955499999999999938e-11,1.240090000000000003e+01
7.855809999999999738e-01,3.793419999999999966e-11,1.240080000000000027e+01
9.208669999999999911e-01,3.681730000000000065e-11,1.240080000000000027e+01
1.056200000000000028e+00,3.576860000000000250e-11,1.240090000000000003e+01
1.191519999999999913e+00,3.508229999999999966e-11,1.240090000000000003e+01
1.326780000000000070e+00,3.460340000000000016e-11,1.240080000000000027e+01
1.462099999999999955e+00,3.405890000000000142e-11,1.240080000000000027e+01
1.597429999999999906e+00,3.365590000000000162e-11,1.240080000000000027e+01
1.732720000000000038e+00,3.323940000000000233e-11,1.240080000000000027e+01
1.868060000000000054e+00,3.297709999999999849e-11,1.240080000000000027e+01
2.003379999999999939e+00,3.261520000000000102e-11,1.240080000000000027e+01
2.138669999999999849e+00,3.250909999999999685e-11,1.240080000000000027e+01
2.273960000000000203e+00,3.217160000000000319e-11,1.240080000000000027e+01
2.409299999999999997e+00,3.199640000000000208e-11,1.240090000000000003e+01
2.544599999999999973e+00,3.183290000000000182e-11,1.240080000000000027e+01
2.679920000000000080e+00,3.166419999999999830e-11,1.240090000000000003e+01
2.815189999999999859e+00,3.159190000000000234e-11,1.240080000000000027e+01
2.950499999999999901e+00,3.131299999999999956e-11,1.240080000000000027e+01
3.085830000000000073e+00,3.120830000000000224e-11,1.240080000000000027e+01
3.221119999999999983e+00,3.117400000000000267e-11,1.240080000000000027e+01
3.356469999999999843e+00,3.114140000000000219e-11,1.240090000000000003e+01
3.491810000000000080e+00,3.096470000000000113e-11,1.240090000000000003e+01
3.627110000000000056e+00,3.084730000000000085e-11,1.240090000000000003e+01
3.762430000000000163e+00,3.068579999999999835e-11,1.240080000000000027e+01
3.897780000000000022e+00,3.073560000000000163e-11,1.240080000000000027e+01
4.033089999999999620e+00,3.046889999999999753e-11,1.240080000000000027e+01
4.168429999999999858e+00,3.052639999999999966e-11,1.240080000000000027e+01
