Time,AI,AV
1.088129999999999931e-01,1.320750000000000002e-11,3.000529999999999919e+00
2.441859999999999864e-01,1.009839999999999986e-11,3.000519999999999854e+00
3.795250000000000012e-01,8.862469999999999899e-12,3.000519999999999854e+00
5.148479999999999723e-01,8.386480000000000026e-12,3.000529999999999919e+00
6.502010000000000289e-01,7.900620000000000721e-12,3.000529999999999919e+00
7.855619999999999825e-01,7.636020000000000415e-12,3.000519999999999854e+00
9.208910000000000151e-01,7.217029999999999996e-12,3.000519999999999854e+00
1.056249999999999911e+00,7.173490000000000365e-12,3.000529999999999919e+00
1.191619999999999902e+00,7.008169999999999611e-12,3.000519999999999854e+00
1.326940000000000008e+00,6.862200000000000386e-12,3.000509999999999788e+00
1.462309999999999999e+00,6.630840000000000047e-12,3.000519999999999854e+00
1.597660000000000080e+00,6.543339999999999864e-12,3.000529999999999919e+00
1.733030000000000070e+00,6.469090000000000256e-12,3.000519999999999854e+00
1.868400000000000061e+00,6.335949999999999877e-12,3.000509999999999788e+00
2.003800000000000026e+00,6.376960000000000325e-12,3.000519999999999854e+00
2.139190000000000147e+00,6.287779999999999689e-12,3.000519999999999854e+00
2.274570000000000203e+00,6.216060000000000071e-12,3.000519999999999854e+00
2.409969999999999946e+00,6.181779999999999939e-12,3.000519999999999854e+00
2.545339999999999936e+00,6.082080000000000273e-12,3.000519999999999854e+00
2.680699999999999861e+00,6.092800000000000049e-12,3.000519999999999854e+00
2.816040000000000099e+00,6.094909999999999926e-12,3.000519999999999854e+00
2.951420000000000154e+00,6.007619999999999800e-12,3.000519999999999854e+00
3.086780000000000079e+00,6.060200000000000370e-12,3.000519999999999854e+00
3.222160000000000135e+00,5.986590000000000242e-12,3.000519999999999854e+00
3.357549999999999812e+00,5.944310000000000144e-12,3.000509999999999788e+00
3.492929999999999868e+00,5.887940000000000052e-12,3.000519999999999854e+00
3.628299999999999859e+00,5.973339999999999668e-12,3.000519999999999854e+00
3.763700000000000045e+00,5.835570000000000347e-12,3.000509999999999788e+00
3.899070000000000036e+00,5.869220000000000309e-12,3.000519999999999854e+00
4.034390000000000143e+00,5.770150000000000005e-12,3.000529999999999919e+00
4.169780000000000264e+00,5.888990000000000335e-12,3.000519999999999854e+00
4.305130000000000123e+00,5.752909999999999970e-12,3.000519999999999854e+00
4.440459999999999852e+00,5.652790000000000191e-12,3.000519999999999854e+00
4.575829999999999842e+00,5.536259999999999676e-12,3.000519999999999854e+00
4.711199999999999832e+00,5.571600000000000210e-12,3.000509999999999788e+00
4.846540000000000070e+00,5.663730000000000142e-12,3.000519999999999854e+00
