Time,AI,AV
6.492829999999999435e-02,1.316990000000000019e-09,3.818670000000000186e+01
1.991999999999999882e-01,1.708689999999999918e-10,3.815809999999999746e+01
3.335020000000000207e-01,1.511239999999999995e-10,3.815970000000000084e+01
4.678519999999999901e-01,1.417030000000000120e-10,3.815959999999999752e+01
6.021400000000000086e-01,1.358150000000000113e-10,3.815879999999999939e+01
7.364629999999999788e-01,1.318949999999999876e-10,3.815809999999999746e+01
8.707460000000000200e-01,1.292300000000000025e-10,3.815709999999999980e+01
1.005079999999999973e+00,1.269059999999999958e-10,3.815630000000000166e+01
1.139410000000000034e+00,1.248860000000000121e-10,3.815540000000000020e+01
1.273749999999999938e+00,1.233499999999999928e-10,3.815460000000000207e+01
1.408109999999999973e+00,1.220909999999999975e-10,3.815379999999999683e+01
1.542399999999999993e+00,1.211070000000000089e-10,3.815290000000000248e+01
1.676719999999999988e+00,1.200619999999999882e-10,3.815209999999999724e+01
1.811029999999999918e+00,1.192210000000000115e-10,3.815149999999999864e+01
1.945279999999999898e+00,1.183299999999999936e-10,3.815090000000000003e+01
2.079579999999999984e+00,1.178569999999999943e-10,3.815030000000000143e+01
2.213880000000000070e+00,1.173280000000000057e-10,3.814979999999999905e+01
2.348190000000000222e+00,1.167700000000000011e-10,3.814920000000000044e+01
2.482489999999999863e+00,1.162499999999999992e-10,3.814869999999999806e+01
2.616779999999999884e+00,1.158139999999999942e-10,3.814829999999999899e+01
2.751129999999999853e+00,1.153529999999999945e-10,3.814800000000000324e+01
2.885429999999999939e+00,1.149700000000000047e-10,3.814739999999999753e+01
3.019769999999999843e+00,1.144120000000000000e-10,3.814759999999999707e+01
3.154049999999999798e+00,1.144359999999999991e-10,3.814679999999999893e+01
3.288320000000000132e+00,1.137180000000000048e-10,3.814650000000000318e+01
3.422670000000000101e+00,1.136230000000000041e-10,3.814609999999999701e+01
3.556960000000000122e+00,1.133269999999999981e-10,3.814589999999999748e+01
3.691279999999999895e+00,1.131710000000000040e-10,3.814569999999999794e+01
3.825559999999999850e+00,1.129469999999999952e-10,3.814520000000000266e+01
3.959890000000000132e+00,1.125920000000000001e-10,3.814509999999999934e+01
4.094269999999999854e+00,1.125140000000000030e-10,3.814479999999999649e+01
4.228580000000000005e+00,1.122799999999999990e-10,3.814459999999999695e+01
4.362879999999999647e+00,1.119949999999999969e-10,3.814439999999999742e+01
4.497209999999999930e+00,1.118770000000000056e-10,3.814419999999999789e+01
4.631490000000000329e+00,1.116450000000000058e-10,3.814399999999999835e+01
4.765810000000000102e+00,1.114149999999999973e-10,3.814390000000000214e+01
4.900140000000000384e+00,1.112920000000000020e-10,3.814359999999999928e+01
5.034430000000000405e+00,1.112309999999999957e-10,3.814370000000000260e+01
5.168770000000000309e+00,1.109320000000000027e-10,3.814330000000000354e+01
5.303110000000000213e+00,1.107590000000000050e-10,3.814330000000000354e+01
5.437479999999999869e+00,1.107210000000000021e-10,3.814309999999999690e+01
5.571839999999999904e+00,1.106649999999999999e-10,3.814300000000000068e+01
5.706170000000000186e+00,1.105330000000000049e-10,3.814280000000000115e+01
5.840489999999999959e+00,1.104899999999999979e-10,3.814260000000000161e+01
5.974820000000000242e+00,1.099410000000000058e-10,3.814309999999999690e+01
6.109140000000000015e+00,1.101410000000000025e-10,3.814260000000000161e+01
6.243459999999999788e+00,1.095960000000000060e-10,3.814249999999999829e+01
6.377760000000000318e+00,1.099049999999999943e-10,3.814229999999999876e+01
6.512080000000000091e+00,1.098839999999999951e-10,3.814200000000000301e+01
6.646419999999999995e+00,1.097559999999999956e-10,3.814180000000000348e+01
6.780710000000000015e+00,1.096809999999999984e-10,3.814180000000000348e+01
6.915040000000000298e+00,1.096210000000000007e-10,3.814170000000000016e+01
7.049349999999999561e+00,1.095779999999999937e-10,3.814159999999999684e+01
7.183670000000000222e+00,1.093640000000000062e-10,3.814150000000000063e+01
7.317989999999999995e+00,1.093670000000000060e-10,3.814150000000000063e+01
7.452320000000000277e+00,1.092340000000000025e-10,3.814130000000000109e+01
7.586660000000000181e+00,1.090919999999999992e-10,3.814130000000000109e+01
7.721029999999999838e+00,1.089939999999999986e-10,3.814119999999999777e+01
7.855349999999999611e+00,1.088489999999999955e-10,3.814099999999999824e+01
7.989700000000000024e+00,1.089160000000000016e-10,3.814110000000000156e+01
8.124050000000000438e+00,1.088909999999999939e-10,3.814079999999999870e+01
8.258359999999999701e+00,1.088330000000000004e-10,3.814079999999999870e+01
8.392730000000000246e+00,1.087250000000000045e-10,3.814079999999999870e+01
8.527079999999999771e+00,1.087539999999999948e-10,3.814050000000000296e+01
8.661390000000000811e+00,1.086630000000000026e-10,3.814039999999999964e+01
8.795740000000000336e+00,1.084949999999999960e-10,3.814039999999999964e+01
8.930080000000000240e+00,1.084799999999999966e-10,3.814009999999999678e+01
9.064389999999999503e+00,1.083729999999999963e-10,3.814020000000000010e+01
9.198719999999999786e+00,1.083060000000000032e-10,3.814009999999999678e+01
9.333009999999999806e+00,1.082689999999999960e-10,3.814009999999999678e+01
9.467309999999999448e+00,1.082919999999999994e-10,3.813989999999999725e+01
9.601610000000000866e+00,1.081480000000000049e-10,3.813980000000000103e+01
9.735910000000000508e+00,1.081019999999999980e-10,3.813980000000000103e+01
9.870240000000000791e+00,1.079880000000000023e-10,3.813969999999999771e+01
1.000450000000000017e+01,1.080920000000000027e-10,3.813969999999999771e+01
1.013889999999999958e+01,1.080339999999999963e-10,3.813960000000000150e+01
1.027319999999999922e+01,1.077410000000000031e-10,3.813949999999999818e+01
1.040750000000000064e+01,1.079160000000000051e-10,3.813940000000000197e+01
1.054190000000000005e+01,1.077519999999999940e-10,3.813949999999999818e+01
1.067619999999999969e+01,1.076820000000000010e-10,3.813949999999999818e+01
1.081049999999999933e+01,1.077639999999999936e-10,3.813940000000000197e+01
1.094490000000000052e+01,1.075600000000000013e-10,3.813940000000000197e+01
1.107920000000000016e+01,1.076750000000000056e-10,3.813929999999999865e+01
1.121359999999999957e+01,1.077239999999999994e-10,3.813920000000000243e+01
1.134789999999999921e+01,1.075950000000000043e-10,3.813929999999999865e+01
1.148220000000000063e+01,1.076580000000000019e-10,3.813909999999999911e+01
1.161660000000000004e+01,1.075530000000000059e-10,3.813900000000000290e+01
1.175099999999999945e+01,1.075339999999999980e-10,3.813900000000000290e+01
1.188530000000000086e+01,1.073799999999999952e-10,3.813900000000000290e+01
1.201970000000000027e+01,1.073619999999999959e-10,3.813880000000000337e+01
1.215399999999999991e+01,1.072549999999999957e-10,3.813880000000000337e+01
1.228839999999999932e+01,1.072020000000000063e-10,3.813870000000000005e+01
1.242270000000000074e+01,1.072519999999999958e-10,3.813870000000000005e+01
1.255710000000000015e+01,1.073120000000000064e-10,3.813859999999999673e+01
1.269149999999999956e+01,1.071280000000000048e-10,3.813850000000000051e+01
1.282579999999999920e+01,1.074359999999999974e-10,3.813850000000000051e+01
1.296020000000000039e+01,1.071790000000000028e-10,3.813830000000000098e+01
1.309450000000000003e+01,1.072009999999999977e-10,3.813830000000000098e+01
1.322889999999999944e+01,1.071209999999999964e-10,3.813839999999999719e+01
1.336320000000000086e+01,1.071239999999999963e-10,3.813839999999999719e+01
1.349750000000000050e+01,1.070570000000000032e-10,3.813830000000000098e+01
1.363180000000000014e+01,1.070289999999999956e-10,3.813819999999999766e+01
1.376609999999999978e+01,1.070469999999999949e-10,3.813819999999999766e+01
1.390039999999999942e+01,1.071329999999999960e-10,3.813830000000000098e+01
1.403480000000000061e+01,1.070409999999999951e-10,3.813830000000000098e+01
1.416910000000000025e+01,1.070429999999999994e-10,3.813819999999999766e+01
1.430349999999999966e+01,1.068739999999999972e-10,3.813799999999999812e+01
1.443779999999999930e+01,1.067969999999999958e-10,3.813790000000000191e+01
1.457210000000000072e+01,1.069719999999999978e-10,3.813790000000000191e+01
