Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-rad,7.5,step,-3.72e-10,-8.0
DG-PCB001,both-rad,7.5,step,-3.81e-10,-8.5
DG-PCB001,both-rad,7.5,step,-3.96e-10,-9.0
DG-PCB001,both-rad,7.5,step,-4.08e-10,-9.5
DG-PCB001,both-rad,7.5,step,-4.28e-10,-10.0
DG-PCB001,both-rad,7.5,step,-4.32e-10,-10.5
DG-PCB001,both-rad,7.5,step,-4.59e-10,-11.0
DG-PCB001,both-rad,7.5,step,-4.69e-10,-11.5
DG-PCB001,both-rad,7.5,step,-4.83e-10,-12.0
DG-PCB001,both-rad,7.5,step,-4.92e-10,-12.5
DG-PCB001,both-rad,7.5,step,-5.05e-10,-13.0
DG-PCB001,both-rad,7.5,step,-5.28e-10,-13.5
DG-PCB001,both-rad,7.5,step,-5.39e-10,-14.0
DG-PCB001,both-rad,7.5,step,-5.52e-10,-14.5
DG-PCB001,both-rad,7.5,step,-5.66e-10,-15.0
DG-PCB001,both-rad,7.5,step,-5.79e-10,-15.5
DG-PCB001,both-rad,7.5,step,-5.94e-10,-16.0
DG-PCB001,both-rad,7.5,step,-6.18e-10,-16.5
DG-PCB001,both-rad,7.5,step,-6.25e-10,-17.0
DG-PCB001,both-rad,7.5,step,-6.5e-10,-17.5
DG-PCB001,both-rad,7.5,step,-6.72e-10,-18.0
DG-PCB001,both-rad,7.5,step,-6.96e-10,-18.5
DG-PCB001,both-rad,7.5,step,-7.17e-10,-19.0
DG-PCB001,both-rad,7.5,step,-7.3e-10,-19.5
DG-PCB001,both-rad,7.5,step,-7.53e-10,-20.0
DG-PCB001,both-rad,7.5,step,-7.8e-10,-20.5
DG-PCB001,both-rad,7.5,step,-7.94e-10,-21.0
DG-PCB001,both-rad,7.5,step,-8.18e-10,-21.5
DG-PCB001,both-rad,7.5,step,-8.34e-10,-22.0
DG-PCB001,both-rad,7.5,step,-8.6e-10,-22.5
DG-PCB001,both-rad,7.5,step,-8.94e-10,-23.0
DG-PCB001,both-rad,7.5,step,-9.22e-10,-23.5
DG-PCB001,both-rad,7.5,step,-9.44e-10,-24.0
DG-PCB001,both-rad,7.5,step,-9.69e-10,-24.5
DG-PCB001,both-rad,7.5,step,-9.97e-10,-25.0
DG-PCB001,both-rad,7.5,step,-1.03e-09,-25.5
DG-PCB001,both-rad,7.5,step,-1.07e-09,-26.0
DG-PCB001,both-rad,7.5,step,-1.1e-09,-26.5
DG-PCB001,both-rad,7.5,step,-1.14e-09,-27.0
DG-PCB001,both-rad,7.5,step,-1.17e-09,-27.5
DG-PCB001,both-rad,7.5,step,-1.2e-09,-28.0
DG-PCB001,both-rad,7.5,step,-1.23e-09,-28.5
DG-PCB001,both-rad,7.5,step,-1.27e-09,-29.0
DG-PCB001,both-rad,7.5,step,-1.3e-09,-29.5
DG-PCB001,both-rad,7.5,step,-1.34e-09,-30.0
