Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-away,7.5,step,5.954953e-10,21.0023
DG-PCB001,both-away,7.5,step,5.891014e-10,21.5021
DG-PCB001,both-away,7.5,step,6.037824e-10,22.0022
DG-PCB001,both-away,7.5,step,6.225859e-10,22.5021
DG-PCB001,both-away,7.5,step,6.365098e-10,23.002
DG-PCB001,both-away,7.5,step,6.424411e-10,23.5019
DG-PCB001,both-away,7.5,step,6.549347e-10,24.0019
DG-PCB001,both-away,7.5,step,6.66545e-10,24.5018
DG-PCB001,both-away,7.5,step,6.811419e-10,25.0018
DG-PCB001,both-away,7.5,step,6.930466e-10,25.5019
DG-PCB001,both-away,7.5,step,7.003661e-10,26.0018
DG-PCB001,both-away,7.5,step,7.060451e-10,26.5016
DG-PCB001,both-away,7.5,step,7.319997e-10,27.0025
DG-PCB001,both-away,7.5,step,7.290131e-10,27.5025
DG-PCB001,both-away,7.5,step,7.409599e-10,28.0029
DG-PCB001,both-away,7.5,step,7.523598e-10,28.5034
DG-PCB001,both-away,7.5,step,7.706164e-10,29.0035
DG-PCB001,both-away,7.5,step,7.821426e-10,29.5004
DG-PCB001,both-away,7.5,step,7.93248e-10,30.0007
DG-PCB001,both-away,7.5,step,7.833204e-10,30.0008
DG-PCB001,both-away,7.5,step,7.437783e-10,29.5005
DG-PCB001,both-away,7.5,step,7.125652e-10,29.0035
DG-PCB001,both-away,7.5,step,6.902282e-10,28.5033
DG-PCB001,both-away,7.5,step,6.548926e-10,28.003
DG-PCB001,both-away,7.5,step,6.161499e-10,27.5026
DG-PCB001,both-away,7.5,step,5.950326e-10,27.0025
DG-PCB001,both-away,7.5,step,5.671008e-10,26.5018
DG-PCB001,both-away,7.5,step,5.460677e-10,26.0019
DG-PCB001,both-away,7.5,step,5.13761e-10,25.502
DG-PCB001,both-away,7.5,step,4.886055e-10,25.0018
DG-PCB001,both-away,7.5,step,4.780468e-10,24.5018
DG-PCB001,both-away,7.5,step,4.461608e-10,24.002
DG-PCB001,both-away,7.5,step,4.281144e-10,23.502
DG-PCB001,both-away,7.5,step,4.058194e-10,23.002
DG-PCB001,both-away,7.5,step,3.748167e-10,22.5022
DG-PCB001,both-away,7.5,step,3.677917e-10,22.0024
DG-PCB001,both-away,7.5,step,3.402384e-10,21.5023
DG-PCB001,both-away,7.5,step,3.269455e-10,21.0023
DG-PCB001,both-away,7.5,step,3.113811e-10,20.5025
DG-PCB001,both-away,7.5,step,2.986771e-10,20.0025
DG-PCB001,both-away,7.5,step,2.859311e-10,19.5031
DG-PCB001,both-away,7.5,step,2.630051e-10,19.0031
DG-PCB001,both-away,7.5,step,2.433182e-10,18.5033
DG-PCB001,both-away,7.5,step,2.262814e-10,18.0033
DG-PCB001,both-away,7.5,step,2.146291e-10,17.5033
DG-PCB001,both-away,7.5,step,2.008735e-10,17.0035
DG-PCB001,both-away,7.5,step,1.953207e-10,16.5035
DG-PCB001,both-away,7.5,step,1.726471e-10,16.0035
DG-PCB001,both-away,7.5,step,1.608266e-10,15.5036
DG-PCB001,both-away,7.5,step,1.606583e-10,15.0037
DG-PCB001,both-away,7.5,step,1.33736e-10,14.5035
DG-PCB001,both-away,7.5,step,1.247339e-10,14.0037
DG-PCB001,both-away,7.5,step,1.200225e-10,13.5038
DG-PCB001,both-away,7.5,step,1.09548e-10,13.0036
DG-PCB001,both-away,7.5,step,9.37733e-11,12.5034
DG-PCB001,both-away,7.5,step,8.55283e-11,12.0031
DG-PCB001,both-away,7.5,step,7.2572e-11,11.5027
DG-PCB001,both-away,7.5,step,6.61358e-11,11.0025
DG-PCB001,both-away,7.5,step,4.59441e-11,10.5021
DG-PCB001,both-away,7.5,step,3.56379e-11,10.0018
DG-PCB001,both-away,7.5,step,9.9356e-12,9.5016
