Time,AI,AV,SMU1_S,RES
23.3600E-3,-66.9191E-12,9.6839E-6,001C0060,
116.5162E-3,-67.0453E-12,9.1821E-6,001C0060,
209.6609E-3,-70.5789E-12,9.2657E-6,001C0060,
302.8266E-3,-67.0453E-12,9.4330E-6,001C0060,
395.9684E-3,-63.5538E-12,10.2693E-6,001C0060,
489.1245E-3,-73.2711E-12,8.4294E-6,001C0060,
582.2406E-3,-66.4564E-12,9.6839E-6,001C0060,
675.4054E-3,-72.0512E-12,8.2621E-6,001C0060,
768.5710E-3,-69.1066E-12,9.4330E-6,001C0060,
861.7195E-3,-64.8579E-12,9.1821E-6,001C0060,
954.8872E-3,-68.1390E-12,9.7675E-6,001C0060,
1.0480E+0,-64.6896E-12,8.3458E-6,001C0060,
1.1412E+0,-68.2652E-12,9.2657E-6,001C0060,
1.2344E+0,-76.5523E-12,8.5130E-6,001C0060,
1.3275E+0,-68.6859E-12,9.3493E-6,001C0060,
1.4207E+0,-68.6018E-12,8.5130E-6,001C0060,
1.5138E+0,-67.9287E-12,9.9348E-6,001C0060,
1.6070E+0,-70.2424E-12,8.4294E-6,001C0060,
1.7002E+0,-67.8867E-12,9.9348E-6,001C0060,
1.7934E+0,-65.6571E-12,8.5130E-6,001C0060,
1.8865E+0,-66.9612E-12,9.6002E-6,001C0060,
1.9796E+0,-65.0262E-12,9.2657E-6,001C0060,
2.0728E+0,-64.0166E-12,9.3493E-6,001C0060,
2.1660E+0,-62.3339E-12,9.1821E-6,001C0060,
2.2591E+0,-63.6800E-12,9.6002E-6,001C0060,
2.3523E+0,-67.3819E-12,10.3530E-6,001C0060,
2.4454E+0,-65.1944E-12,9.6002E-6,001C0060,
2.5386E+0,-69.1066E-12,9.0985E-6,001C0060,
2.6318E+0,-70.0741E-12,8.8475E-6,001C0060,
2.7249E+0,-70.2424E-12,8.1785E-6,001C0060,
2.8181E+0,-66.9191E-12,8.5130E-6,001C0060,
2.9112E+0,-68.8121E-12,9.1821E-6,001C0060,
3.0044E+0,-66.6667E-12,8.7639E-6,001C0060,
3.0976E+0,-66.2881E-12,9.1821E-6,001C0060,
3.1907E+0,-64.7317E-12,8.4294E-6,001C0060,
3.2839E+0,-67.0453E-12,9.6002E-6,001C0060,
3.3770E+0,-69.4852E-12,8.2621E-6,001C0060,
3.4702E+0,-72.8925E-12,9.4330E-6,001C0060,
3.5633E+0,-70.2844E-12,8.6803E-6,001C0060,
3.6565E+0,-70.7892E-12,9.6839E-6,001C0060,
3.7497E+0,-67.1295E-12,8.4294E-6,001C0060,
3.8428E+0,-70.3265E-12,8.9312E-6,001C0060,
3.9360E+0,-61.9133E-12,9.0985E-6,001C0060,
4.0291E+0,-67.8025E-12,10.1857E-6,001C0060,
4.1223E+0,-67.5501E-12,9.0985E-6,001C0060,
4.2154E+0,-67.3398E-12,9.3493E-6,001C0060,
4.3086E+0,-66.6667E-12,8.5130E-6,001C0060,
4.4018E+0,-61.3243E-12,8.6803E-6,001C0060,
4.4949E+0,-66.5826E-12,9.0148E-6,001C0060,
4.5881E+0,-65.7834E-12,9.6839E-6,001C0060,
4.6812E+0,-66.9191E-12,8.8475E-6,001C0060,
4.7744E+0,-66.4564E-12,9.9348E-6,001C0060,
4.8675E+0,-64.9841E-12,8.9312E-6,001C0060,
4.9607E+0,-72.4719E-12,10.2693E-6,001C0060,
5.0539E+0,-68.5597E-12,10.0184E-6,001C0060,
5.1470E+0,-65.0682E-12,9.4330E-6,001C0060,
5.2402E+0,-67.1295E-12,9.5166E-6,001C0060,
5.3333E+0,-63.0911E-12,9.0985E-6,001C0060,
5.4265E+0,-66.2040E-12,9.1821E-6,001C0060,
5.5196E+0,-68.3073E-12,8.1785E-6,001C0060,
5.6128E+0,-68.1390E-12,9.2657E-6,001C0060,
5.7059E+0,-69.5272E-12,9.0148E-6,001C0060,
5.7991E+0,-66.2040E-12,9.6002E-6,001C0060,
5.8923E+0,-62.5022E-12,9.1821E-6,001C0060,
5.9855E+0,-72.8925E-12,9.7675E-6,001C0060,
6.0786E+0,-66.3723E-12,8.9312E-6,001C0060,
6.1717E+0,-67.8446E-12,9.9348E-6,001C0060,
6.2649E+0,-73.3973E-12,8.5130E-6,001C0060,
6.3580E+0,-76.1316E-12,9.6002E-6,001C0060,
6.4512E+0,-71.2099E-12,9.2657E-6,001C0060,
6.5443E+0,-69.8217E-12,9.0985E-6,001C0060,
6.6375E+0,-70.7892E-12,8.5130E-6,001C0060,
6.7306E+0,-69.2328E-12,9.4330E-6,001C0060,
6.8238E+0,-68.3073E-12,8.9312E-6,001C0060,
6.9170E+0,-67.4660E-12,9.8511E-6,001C0060,
7.0101E+0,-69.7796E-12,8.9312E-6,001C0060,
7.1033E+0,-63.1752E-12,9.0985E-6,001C0060,
7.1965E+0,-68.4756E-12,8.7639E-6,001C0060,
7.2897E+0,-67.4660E-12,10.2693E-6,001C0060,
7.3828E+0,-71.3361E-12,8.6803E-6,001C0060,
7.4760E+0,-70.4947E-12,10.6038E-6,001C0060,
7.5692E+0,-71.0416E-12,9.0148E-6,001C0060,
7.6623E+0,-69.4852E-12,10.4366E-6,001C0060,
7.7555E+0,-67.7184E-12,8.5130E-6,001C0060,
7.8486E+0,-75.1641E-12,9.9348E-6,001C0060,
7.9418E+0,-70.9995E-12,8.7639E-6,001C0060,
8.0349E+0,-68.7700E-12,8.9312E-6,001C0060,
8.1281E+0,-66.4985E-12,9.0985E-6,001C0060,
8.2212E+0,-68.2232E-12,9.2657E-6,001C0060,
8.3144E+0,-73.1870E-12,8.5966E-6,001C0060,
8.4076E+0,-74.2386E-12,9.4330E-6,001C0060,
8.5007E+0,-70.0741E-12,9.9348E-6,001C0060,
8.5939E+0,-73.9862E-12,9.4330E-6,001C0060,
8.6870E+0,-76.5102E-12,9.7675E-6,001C0060,
8.7802E+0,-72.2195E-12,8.8475E-6,001C0060,
8.8733E+0,-74.6172E-12,9.6002E-6,001C0060,
8.9665E+0,-73.9442E-12,8.5130E-6,001C0060,
