Time,AI,AV,SMU1_S,RES
23.4353E-3,764.1910E-12,30.0015E+0,001C0360,
116.5820E-3,684.1804E-12,30.0014E+0,001C0360,
209.7152E-3,635.5935E-12,30.0015E+0,001C0360,
302.8571E-3,622.1743E-12,30.0015E+0,001C0360,
395.9570E-3,602.2347E-12,30.0015E+0,001C0360,
489.1264E-3,587.1328E-12,30.0015E+0,001C0360,
582.2302E-3,580.9911E-12,30.0015E+0,001C0360,
675.3577E-3,572.5778E-12,30.0015E+0,001C0360,
768.5205E-3,565.0478E-12,30.0015E+0,001C0360,
861.6433E-3,565.2161E-12,30.0014E+0,001C0360,
954.8051E-3,558.9903E-12,30.0016E+0,001C0360,
1.0479E+0,554.1526E-12,30.0014E+0,001C0360,
1.1411E+0,554.0685E-12,30.0015E+0,001C0360,
1.2342E+0,552.6803E-12,30.0014E+0,001C0360,
1.3273E+0,542.7946E-12,30.0016E+0,001C0360,
1.4205E+0,542.7526E-12,30.0014E+0,001C0360,
1.5137E+0,544.9400E-12,30.0016E+0,001C0360,
1.6068E+0,542.2057E-12,30.0015E+0,001C0360,
1.6999E+0,540.0183E-12,30.0015E+0,001C0360,
1.7931E+0,538.2514E-12,30.0015E+0,001C0360,
1.8862E+0,533.8345E-12,30.0015E+0,001C0360,
1.9793E+0,526.6411E-12,30.0016E+0,001C0360,
2.0725E+0,531.6470E-12,30.0016E+0,001C0360,
2.1656E+0,528.1555E-12,30.0015E+0,001C0360,
2.2587E+0,522.4765E-12,30.0015E+0,001C0360,
2.3518E+0,522.4765E-12,30.0016E+0,001C0360,
2.4450E+0,523.5281E-12,30.0016E+0,001C0360,
2.5381E+0,521.0042E-12,30.0015E+0,001C0360,
2.6312E+0,531.0580E-12,30.0014E+0,001C0360,
2.7244E+0,516.8816E-12,30.0015E+0,001C0360,
2.8175E+0,518.6485E-12,30.0014E+0,001C0360,
2.9106E+0,520.7518E-12,30.0015E+0,001C0360,
3.0038E+0,518.7326E-12,30.0014E+0,001C0360,
3.0969E+0,510.5296E-12,30.0015E+0,001C0360,
3.1900E+0,515.8720E-12,30.0014E+0,001C0360,
3.2831E+0,514.2314E-12,30.0015E+0,001C0360,
3.3763E+0,513.7266E-12,30.0015E+0,001C0360,
3.4694E+0,514.0632E-12,30.0015E+0,001C0360,
3.5625E+0,511.9599E-12,30.0015E+0,001C0360,
3.6556E+0,514.1052E-12,30.0015E+0,001C0360,
3.7487E+0,512.9694E-12,30.0015E+0,001C0360,
3.8419E+0,515.4514E-12,30.0015E+0,001C0360,
3.9350E+0,511.7495E-12,30.0015E+0,001C0360,
4.0281E+0,507.9635E-12,30.0014E+0,001C0360,
4.1213E+0,504.6403E-12,30.0016E+0,001C0360,
4.2144E+0,504.0092E-12,30.0014E+0,001C0360,
4.3075E+0,509.4358E-12,30.0016E+0,001C0360,
4.4006E+0,505.4395E-12,30.0015E+0,001C0360,
4.4938E+0,504.0092E-12,30.0016E+0,001C0360,
4.5869E+0,509.2255E-12,30.0015E+0,001C0360,
4.6801E+0,502.8735E-12,30.0015E+0,001C0360,
4.7732E+0,505.9864E-12,30.0016E+0,001C0360,
4.8663E+0,506.1126E-12,30.0015E+0,001C0360,
4.9594E+0,502.9576E-12,30.0016E+0,001C0360,
5.0525E+0,505.7340E-12,30.0015E+0,001C0360,
5.1456E+0,501.7377E-12,30.0016E+0,001C0360,
5.2388E+0,509.7303E-12,30.0014E+0,001C0360,
5.3319E+0,507.3746E-12,30.0016E+0,001C0360,
5.4250E+0,504.3879E-12,30.0015E+0,001C0360,
5.5181E+0,506.2808E-12,30.0016E+0,001C0360,
5.6113E+0,505.0189E-12,30.0015E+0,001C0360,
5.7044E+0,505.1871E-12,30.0015E+0,001C0360,
5.7975E+0,507.0801E-12,30.0015E+0,001C0360,
5.8907E+0,505.7340E-12,30.0015E+0,001C0360,
5.9838E+0,498.2882E-12,30.0015E+0,001C0360,
6.0770E+0,503.5886E-12,30.0015E+0,001C0360,
6.1701E+0,496.1007E-12,30.0016E+0,001C0360,
6.2632E+0,507.7952E-12,30.0014E+0,001C0360,
6.3564E+0,500.9804E-12,30.0016E+0,001C0360,
6.4495E+0,503.7147E-12,30.0015E+0,001C0360,
6.5426E+0,502.8735E-12,30.0016E+0,001C0360,
6.6357E+0,500.2233E-12,30.0015E+0,001C0360,
6.7289E+0,491.8100E-12,30.0015E+0,001C0360,
6.8220E+0,501.0646E-12,30.0015E+0,001C0360,
6.9151E+0,499.6764E-12,30.0015E+0,001C0360,
7.0083E+0,501.7377E-12,30.0015E+0,001C0360,
7.1014E+0,494.6705E-12,30.0014E+0,001C0360,
7.1945E+0,492.3568E-12,30.0016E+0,001C0360,
7.2876E+0,496.1849E-12,30.0014E+0,001C0360,
7.3808E+0,491.8520E-12,30.0015E+0,001C0360,
7.4739E+0,495.4697E-12,30.0014E+0,001C0360,
7.5670E+0,500.9804E-12,30.0015E+0,001C0360,
7.6602E+0,495.4276E-12,30.0014E+0,001C0360,
7.7533E+0,496.0166E-12,30.0015E+0,001C0360,
7.8465E+0,493.7029E-12,30.0015E+0,001C0360,
7.9396E+0,494.7546E-12,30.0015E+0,001C0360,
8.0327E+0,488.4025E-12,30.0015E+0,001C0360,
8.1258E+0,495.1332E-12,30.0014E+0,001C0360,
8.2189E+0,488.2342E-12,30.0015E+0,001C0360,
8.3120E+0,493.8291E-12,30.0014E+0,001C0360,
8.4052E+0,489.5804E-12,30.0015E+0,001C0360,
8.4983E+0,495.2594E-12,30.0014E+0,001C0360,
8.5914E+0,502.7893E-12,30.0015E+0,001C0360,
8.6845E+0,489.8749E-12,30.0014E+0,001C0360,
8.7777E+0,495.4697E-12,30.0015E+0,001C0360,
8.8708E+0,490.8424E-12,30.0015E+0,001C0360,
8.9639E+0,493.8291E-12,30.0015E+0,001C0360,
9.0570E+0,497.1104E-12,30.0015E+0,001C0360,
9.1501E+0,487.1826E-12,30.0015E+0,001C0360,
9.2433E+0,491.2631E-12,30.0016E+0,001C0360,
9.3364E+0,494.2077E-12,30.0014E+0,001C0360,
9.4295E+0,495.4276E-12,30.0015E+0,001C0360,
9.5226E+0,487.5191E-12,30.0014E+0,001C0360,
9.6157E+0,489.2018E-12,30.0016E+0,001C0360,
9.7089E+0,496.6896E-12,30.0015E+0,001C0360,
9.8020E+0,497.1524E-12,30.0015E+0,001C0360,
9.8951E+0,493.6609E-12,30.0015E+0,001C0360,
9.9883E+0,498.5406E-12,30.0015E+0,001C0360,
10.0814E+0,491.0948E-12,30.0015E+0,001C0360,
10.1745E+0,497.8254E-12,30.0015E+0,001C0360,
10.2676E+0,493.4085E-12,30.0015E+0,001C0360,
10.3608E+0,502.2424E-12,30.0015E+0,001C0360,
10.4539E+0,502.8735E-12,30.0016E+0,001C0360,
10.5470E+0,498.6668E-12,30.0014E+0,001C0360,
10.6402E+0,499.0875E-12,30.0016E+0,001C0360,
10.7332E+0,495.3856E-12,30.0015E+0,001C0360,
10.8264E+0,488.1922E-12,30.0015E+0,001C0360,
10.9195E+0,491.3893E-12,30.0014E+0,001C0360,
11.0126E+0,489.7908E-12,30.0015E+0,001C0360,
11.1057E+0,491.5996E-12,30.0015E+0,001C0360,
11.1988E+0,496.0586E-12,30.0015E+0,001C0360,
11.2920E+0,489.2439E-12,30.0015E+0,001C0360,
11.3851E+0,489.9169E-12,30.0015E+0,001C0360,
11.4782E+0,488.2764E-12,30.0016E+0,001C0360,
11.5714E+0,493.2823E-12,30.0015E+0,001C0360,
11.6645E+0,487.3088E-12,30.0015E+0,001C0360,
11.7576E+0,489.2018E-12,30.0015E+0,001C0360,
11.8507E+0,495.9745E-12,30.0015E+0,001C0360,
11.9438E+0,494.7546E-12,30.0014E+0,001C0360,
12.0370E+0,488.1081E-12,30.0016E+0,001C0360,
12.1301E+0,485.2055E-12,30.0015E+0,001C0360,
12.2232E+0,488.3605E-12,30.0015E+0,001C0360,
12.3163E+0,479.7368E-12,30.0015E+0,001C0360,
12.4094E+0,478.9376E-12,30.0015E+0,001C0360,
12.5026E+0,487.3088E-12,30.0016E+0,001C0360,
12.5956E+0,487.0564E-12,30.0014E+0,001C0360,
12.6888E+0,482.0925E-12,30.0015E+0,001C0360,
12.7819E+0,486.6778E-12,30.0014E+0,001C0360,
12.8750E+0,480.3257E-12,30.0015E+0,001C0360,
12.9681E+0,484.3221E-12,30.0014E+0,001C0360,
13.0612E+0,481.1250E-12,30.0015E+0,001C0360,
13.1544E+0,485.1634E-12,30.0015E+0,001C0360,
13.2475E+0,481.7980E-12,30.0015E+0,001C0360,
