Time,AI,AV,SMU1_S,RES
23.5507E-3,608.7464E-12,10.0009E+0,001C0260,
116.6858E-3,529.0312E-12,10.0009E+0,001C0260,
209.8115E-3,489.6573E-12,10.0009E+0,001C0260,
302.9295E-3,458.8229E-12,10.0009E+0,001C0260,
396.0342E-3,445.6142E-12,10.0009E+0,001C0260,
489.1503E-3,438.1684E-12,10.0009E+0,001C0260,
582.2569E-3,429.3766E-12,10.0009E+0,001C0260,
675.3577E-3,413.8963E-12,10.0009E+0,001C0260,
768.4843E-3,407.0816E-12,10.0009E+0,001C0260,
861.5861E-3,394.7142E-12,10.0009E+0,001C0260,
954.7146E-3,393.3260E-12,10.0009E+0,001C0260,
1.0478E+0,388.9091E-12,10.0009E+0,001C0260,
1.1409E+0,387.1002E-12,10.0009E+0,001C0260,
1.2341E+0,385.9223E-12,10.0009E+0,001C0260,
1.3272E+0,381.8840E-12,10.0009E+0,001C0260,
1.4203E+0,380.9585E-12,10.0009E+0,001C0260,
1.5134E+0,379.4862E-12,10.0009E+0,001C0260,
1.6065E+0,373.0922E-12,10.0009E+0,001C0260,
1.6996E+0,369.6428E-12,10.0009E+0,001C0260,
1.7927E+0,380.2855E-12,10.0009E+0,001C0260,
1.8858E+0,365.0576E-12,10.0009E+0,001C0260,
1.9789E+0,369.0538E-12,10.0009E+0,001C0260,
2.0720E+0,364.7210E-12,10.0009E+0,001C0260,
2.1652E+0,363.5853E-12,10.0009E+0,001C0260,
2.2583E+0,365.2258E-12,10.0009E+0,001C0260,
2.3514E+0,371.4937E-12,10.0009E+0,001C0260,
2.4445E+0,370.4000E-12,10.0009E+0,001C0260,
2.5376E+0,362.6598E-12,10.0009E+0,001C0260,
2.6307E+0,366.1934E-12,10.0009E+0,001C0260,
2.7238E+0,362.2812E-12,10.0009E+0,001C0260,
2.8170E+0,362.1971E-12,10.0009E+0,001C0260,
2.9101E+0,362.1550E-12,10.0009E+0,001C0260,
3.0032E+0,358.2008E-12,10.0009E+0,001C0260,
3.0963E+0,353.4052E-12,10.0009E+0,001C0260,
3.1894E+0,348.0208E-12,10.0009E+0,001C0260,
3.2825E+0,351.7647E-12,10.0009E+0,001C0260,
3.3757E+0,356.1396E-12,10.0009E+0,001C0260,
3.4688E+0,360.5145E-12,10.0009E+0,001C0260,
3.5619E+0,355.9713E-12,10.0009E+0,001C0260,
3.6550E+0,356.2657E-12,10.0009E+0,001C0260,
3.7481E+0,351.6805E-12,10.0009E+0,001C0260,
3.8412E+0,351.8909E-12,10.0009E+0,001C0260,
