Time,AI,AV,SMU1_S,RES
23.4963E-3,-2.0638E-9,-38.0474E+0,001C0360,
116.5982E-3,-2.0672E-9,-38.0469E+0,001C0360,
209.6361E-3,-2.0473E-9,-38.0463E+0,001C0360,
302.7141E-3,-2.0616E-9,-38.0458E+0,001C0360,
395.8187E-3,-2.0627E-9,-38.0457E+0,001C0360,
488.9034E-3,-2.0468E-9,-38.0455E+0,001C0360,
582.0119E-3,-2.0309E-9,-38.0450E+0,001C0360,
675.0756E-3,-2.0393E-9,-38.0452E+0,001C0360,
768.1583E-3,-2.0288E-9,-38.0445E+0,001C0360,
861.2601E-3,-2.0365E-9,-38.0442E+0,001C0360,
954.3667E-3,-2.0363E-9,-38.0442E+0,001C0360,
1.0475E+0,-2.0051E-9,-38.0441E+0,001C0360,
1.1406E+0,-2.0275E-9,-38.0436E+0,001C0360,
1.2337E+0,-2.0398E-9,-38.0441E+0,001C0360,
1.3268E+0,-2.0280E-9,-38.0434E+0,001C0360,
1.4199E+0,-2.0136E-9,-38.0431E+0,001C0360,
1.5130E+0,-2.0264E-9,-38.0432E+0,001C0360,
1.6061E+0,-2.0253E-9,-38.0426E+0,001C0360,
1.6991E+0,-2.0120E-9,-38.0423E+0,001C0360,
1.7923E+0,-2.0168E-9,-38.0424E+0,001C0360,
1.8854E+0,-2.0015E-9,-38.0421E+0,001C0360,
1.9785E+0,-2.0009E-9,-38.0419E+0,001C0360,
2.0716E+0,-1.9954E-9,-38.0419E+0,001C0360,
2.1647E+0,-2.0022E-9,-38.0420E+0,001C0360,
2.2578E+0,-1.9869E-9,-38.0417E+0,001C0360,
2.3509E+0,-1.9970E-9,-38.0414E+0,001C0360,
2.4440E+0,-1.9899E-9,-38.0415E+0,001C0360,
2.5371E+0,-1.9889E-9,-38.0412E+0,001C0360,
2.6302E+0,-1.9938E-9,-38.0412E+0,001C0360,
2.7233E+0,-1.9872E-9,-38.0411E+0,001C0360,
2.8164E+0,-1.9942E-9,-38.0409E+0,001C0360,
2.9095E+0,-1.9809E-9,-38.0410E+0,001C0360,
3.0026E+0,-1.9877E-9,-38.0407E+0,001C0360,
3.0956E+0,-1.9774E-9,-38.0405E+0,001C0360,
3.1887E+0,-1.9828E-9,-38.0409E+0,001C0360,
3.2818E+0,-1.9758E-9,-38.0405E+0,001C0360,
3.3749E+0,-1.9816E-9,-38.0403E+0,001C0360,
3.4680E+0,-1.9879E-9,-38.0404E+0,001C0360,
3.5611E+0,-1.9803E-9,-38.0401E+0,001C0360,
3.6542E+0,-1.9712E-9,-38.0399E+0,001C0360,
3.7473E+0,-1.9779E-9,-38.0403E+0,001C0360,
3.8404E+0,-1.9637E-9,-38.0398E+0,001C0360,
3.9336E+0,-1.9647E-9,-38.0398E+0,001C0360,
4.0267E+0,-1.9765E-9,-38.0401E+0,001C0360,
4.1198E+0,-1.9628E-9,-38.0397E+0,001C0360,
4.2129E+0,-1.9724E-9,-38.0395E+0,001C0360,
4.3060E+0,-1.9696E-9,-38.0396E+0,001C0360,
4.3991E+0,-1.9656E-9,-38.0394E+0,001C0360,
4.4922E+0,-1.9616E-9,-38.0392E+0,001C0360,
4.5853E+0,-1.9648E-9,-38.0397E+0,001C0360,
4.6784E+0,-1.9576E-9,-38.0393E+0,001C0360,
4.7715E+0,-1.9648E-9,-38.0392E+0,001C0360,
4.8646E+0,-1.9602E-9,-38.0394E+0,001C0360,
4.9578E+0,-1.9570E-9,-38.0391E+0,001C0360,
5.0508E+0,-1.9696E-9,-38.0387E+0,001C0360,
5.1439E+0,-1.9748E-9,-38.0394E+0,001C0360,
5.2370E+0,-1.9445E-9,-38.0390E+0,001C0360,
5.3301E+0,-1.9579E-9,-38.0389E+0,001C0360,
5.4232E+0,-1.9617E-9,-38.0391E+0,001C0360,
5.5163E+0,-1.9480E-9,-38.0387E+0,001C0360,
5.6094E+0,-1.9585E-9,-38.0386E+0,001C0360,
5.7025E+0,-1.9590E-9,-38.0391E+0,001C0360,
5.7955E+0,-1.9423E-9,-38.0387E+0,001C0360,
5.8886E+0,-1.9564E-9,-38.0387E+0,001C0360,
5.9817E+0,-1.9690E-9,-38.0387E+0,001C0360,
6.0748E+0,-1.9565E-9,-38.0385E+0,001C0360,
6.1679E+0,-1.9493E-9,-38.0382E+0,001C0360,
6.2610E+0,-1.9561E-9,-38.0387E+0,001C0360,
6.3541E+0,-1.9368E-9,-38.0382E+0,001C0360,
6.4472E+0,-1.9543E-9,-38.0382E+0,001C0360,
6.5403E+0,-1.9644E-9,-38.0383E+0,001C0360,
6.6335E+0,-1.9515E-9,-38.0380E+0,001C0360,
6.7266E+0,-1.9643E-9,-38.0381E+0,001C0360,
6.8197E+0,-1.9562E-9,-38.0383E+0,001C0360,
6.9128E+0,-1.9395E-9,-38.0381E+0,001C0360,
7.0059E+0,-1.9481E-9,-38.0379E+0,001C0360,
7.0990E+0,-1.9420E-9,-38.0378E+0,001C0360,
7.1922E+0,-1.9594E-9,-38.0380E+0,001C0360,
7.2853E+0,-1.9429E-9,-38.0378E+0,001C0360,
7.3784E+0,-1.9532E-9,-38.0377E+0,001C0360,
7.4715E+0,-1.9401E-9,-38.0376E+0,001C0360,
7.5646E+0,-1.9423E-9,-38.0375E+0,001C0360,
7.6577E+0,-1.9520E-9,-38.0376E+0,001C0360,
7.7509E+0,-1.9436E-9,-38.0373E+0,001C0360,
7.8440E+0,-1.9604E-9,-38.0373E+0,001C0360,
7.9371E+0,-1.9432E-9,-38.0375E+0,001C0360,
8.0302E+0,-1.9354E-9,-38.0373E+0,001C0360,
8.1233E+0,-1.9433E-9,-38.0375E+0,001C0360,
8.2164E+0,-1.9512E-9,-38.0375E+0,001C0360,
8.3096E+0,-1.9466E-9,-38.0374E+0,001C0360,
8.4026E+0,-1.9444E-9,-38.0373E+0,001C0360,
8.4957E+0,-1.9456E-9,-38.0377E+0,001C0360,
8.5888E+0,-1.9268E-9,-38.0373E+0,001C0360,
8.6819E+0,-1.9362E-9,-38.0370E+0,001C0360,
8.7750E+0,-1.9478E-9,-38.0370E+0,001C0360,
8.8681E+0,-1.8901E-9,-38.0370E+0,001C0360,
8.9612E+0,-1.9364E-9,-38.0370E+0,001C0360,
9.0544E+0,-1.9378E-9,-38.0370E+0,001C0360,
9.1474E+0,-1.9480E-9,-38.0370E+0,001C0360,
9.2405E+0,-1.9364E-9,-38.0369E+0,001C0360,
9.3337E+0,-1.9326E-9,-38.0372E+0,001C0360,
9.4267E+0,-1.9332E-9,-38.0371E+0,001C0360,
9.5199E+0,-1.9377E-9,-38.0369E+0,001C0360,
9.6130E+0,-1.9409E-9,-38.0373E+0,001C0360,
9.7061E+0,-1.9383E-9,-38.0370E+0,001C0360,
9.7992E+0,-1.9260E-9,-38.0368E+0,001C0360,
9.8922E+0,-1.9373E-9,-38.0372E+0,001C0360,
9.9853E+0,-1.9366E-9,-38.0369E+0,001C0360,
10.0784E+0,-1.9418E-9,-38.0366E+0,001C0360,
10.1715E+0,-1.9365E-9,-38.0369E+0,001C0360,
10.2646E+0,-1.9209E-9,-38.0367E+0,001C0360,
10.3577E+0,-1.9358E-9,-38.0365E+0,001C0360,
10.4507E+0,-1.9356E-9,-38.0367E+0,001C0360,
10.5438E+0,-1.9264E-9,-38.0365E+0,001C0360,
10.6369E+0,-1.9339E-9,-38.0365E+0,001C0360,
10.7300E+0,-1.9535E-9,-38.0371E+0,001C0360,
10.8231E+0,-1.9360E-9,-38.0367E+0,001C0360,
10.9161E+0,-1.9426E-9,-38.0362E+0,001C0360,
11.0092E+0,-1.9485E-9,-38.0365E+0,001C0360,
11.1023E+0,-1.9224E-9,-38.0362E+0,001C0360,
11.1955E+0,-1.9284E-9,-38.0359E+0,001C0360,
11.2886E+0,-1.9405E-9,-38.0363E+0,001C0360,
11.3817E+0,-1.9368E-9,-38.0360E+0,001C0360,
11.4748E+0,-1.9369E-9,-38.0360E+0,001C0360,
11.5679E+0,-1.9352E-9,-38.0363E+0,001C0360,
11.6610E+0,-1.9286E-9,-38.0359E+0,001C0360,
11.7541E+0,-1.9215E-9,-38.0359E+0,001C0360,
11.8472E+0,-1.9250E-9,-38.0362E+0,001C0360,
11.9403E+0,-1.9320E-9,-38.0360E+0,001C0360,
12.0335E+0,-1.9344E-9,-38.0359E+0,001C0360,
12.1266E+0,-1.9351E-9,-38.0359E+0,001C0360,
12.2197E+0,-1.9323E-9,-38.0361E+0,001C0360,
12.3128E+0,-1.9207E-9,-38.0358E+0,001C0360,
12.4059E+0,-1.9231E-9,-38.0358E+0,001C0360,
