Time,AI,AV,SMU1_S,RES
23.6164E-3,663.7239E-12,30.0011E+0,001C0360,
116.7726E-3,658.2133E-12,30.0011E+0,001C0360,
209.9106E-3,663.1350E-12,30.0010E+0,001C0360,
303.0553E-3,651.4828E-12,30.0011E+0,001C0360,
396.1781E-3,647.0658E-12,30.0011E+0,001C0360,
489.3428E-3,644.4998E-12,30.0010E+0,001C0360,
582.4704E-3,640.4615E-12,30.0011E+0,001C0360,
675.6036E-3,642.3544E-12,30.0011E+0,001C0360,
768.7616E-3,636.1707E-12,30.0011E+0,001C0360,
861.8625E-3,638.1479E-12,30.0011E+0,001C0360,
955.0158E-3,636.4652E-12,30.0012E+0,001C0360,
1.0481E+0,633.5206E-12,30.0010E+0,001C0360,
1.1413E+0,626.2011E-12,30.0011E+0,001C0360,
1.2344E+0,631.0807E-12,30.0011E+0,001C0360,
1.3275E+0,629.3561E-12,30.0011E+0,001C0360,
1.4207E+0,634.2357E-12,30.0010E+0,001C0360,
1.5138E+0,624.9391E-12,30.0012E+0,001C0360,
1.6069E+0,625.1495E-12,30.0010E+0,001C0360,
1.7000E+0,627.9679E-12,30.0012E+0,001C0360,
1.7932E+0,618.2507E-12,30.0010E+0,001C0360,
1.8863E+0,612.9504E-12,30.0012E+0,001C0360,
1.9795E+0,618.3348E-12,30.0011E+0,001C0360,
2.0726E+0,620.2278E-12,30.0011E+0,001C0360,
2.1657E+0,620.3540E-12,30.0011E+0,001C0360,
2.2589E+0,611.4780E-12,30.0012E+0,001C0360,
2.3520E+0,611.6042E-12,30.0011E+0,001C0360,
2.4451E+0,618.4189E-12,30.0010E+0,001C0360,
2.5382E+0,611.5621E-12,30.0011E+0,001C0360,
2.6314E+0,609.8375E-12,30.0011E+0,001C0360,
2.7245E+0,611.3098E-12,30.0011E+0,001C0360,
2.8176E+0,609.1223E-12,30.0011E+0,001C0360,
2.9107E+0,610.5526E-12,30.0011E+0,001C0360,
3.0038E+0,600.6250E-12,30.0011E+0,001C0360,
3.0970E+0,608.1548E-12,30.0011E+0,001C0360,
3.1901E+0,613.8758E-12,30.0011E+0,001C0360,
3.2832E+0,604.5792E-12,30.0012E+0,001C0360,
3.3764E+0,601.1298E-12,30.0009E+0,001C0360,
3.4695E+0,600.2885E-12,30.0011E+0,001C0360,
3.5626E+0,599.8679E-12,30.0011E+0,001C0360,
3.6558E+0,600.4568E-12,30.0012E+0,001C0360,
3.7489E+0,605.5888E-12,30.0010E+0,001C0360,
3.8420E+0,602.8966E-12,30.0011E+0,001C0360,
3.9352E+0,601.1298E-12,30.0011E+0,001C0360,
4.0283E+0,602.3498E-12,30.0011E+0,001C0360,
4.1214E+0,590.8657E-12,30.0011E+0,001C0360,
4.2145E+0,596.1661E-12,30.0011E+0,001C0360,
4.3077E+0,588.6363E-12,30.0011E+0,001C0360,
4.4008E+0,587.0798E-12,30.0011E+0,001C0360,
4.4940E+0,592.0015E-12,30.0012E+0,001C0360,
4.5871E+0,592.6326E-12,30.0011E+0,001C0360,
4.6802E+0,585.3551E-12,30.0013E+0,001C0360,
4.7733E+0,587.2480E-12,30.0011E+0,001C0360,
4.8665E+0,587.3743E-12,30.0013E+0,001C0360,
4.9596E+0,594.1048E-12,30.0011E+0,001C0360,
5.0527E+0,592.7587E-12,30.0012E+0,001C0360,
5.1458E+0,593.8945E-12,30.0011E+0,001C0360,
5.2390E+0,585.3130E-12,30.0012E+0,001C0360,
5.3321E+0,584.7241E-12,30.0012E+0,001C0360,
5.4253E+0,588.2997E-12,30.0011E+0,001C0360,
5.5184E+0,585.6075E-12,30.0011E+0,001C0360,
5.6115E+0,586.6591E-12,30.0012E+0,001C0360,
5.7047E+0,578.3301E-12,30.0012E+0,001C0360,
5.7978E+0,584.9765E-12,30.0012E+0,001C0360,
5.8909E+0,585.4813E-12,30.0013E+0,001C0360,
5.9841E+0,582.8732E-12,30.0011E+0,001C0360,
6.0772E+0,585.7757E-12,30.0012E+0,001C0360,
6.1704E+0,584.4717E-12,30.0011E+0,001C0360,
6.2635E+0,582.2002E-12,30.0012E+0,001C0360,
6.3566E+0,580.0969E-12,30.0011E+0,001C0360,
6.4497E+0,586.7433E-12,30.0011E+0,001C0360,
6.5429E+0,581.3168E-12,30.0010E+0,001C0360,
6.6360E+0,583.5463E-12,30.0011E+0,001C0360,
6.7292E+0,580.2651E-12,30.0011E+0,001C0360,
6.8223E+0,579.5079E-12,30.0011E+0,001C0360,
6.9154E+0,579.1714E-12,30.0011E+0,001C0360,
7.0085E+0,580.8120E-12,30.0012E+0,001C0360,
7.1017E+0,570.1272E-12,30.0011E+0,001C0360,
7.1948E+0,576.6054E-12,30.0011E+0,001C0360,
7.2879E+0,574.8806E-12,30.0011E+0,001C0360,
7.3810E+0,577.3625E-12,30.0011E+0,001C0360,
7.4742E+0,568.6969E-12,30.0011E+0,001C0360,
7.5673E+0,574.4180E-12,30.0010E+0,001C0360,
7.6604E+0,571.8520E-12,30.0012E+0,001C0360,
7.7536E+0,569.3280E-12,30.0010E+0,001C0360,
7.8467E+0,575.5958E-12,30.0011E+0,001C0360,
7.9399E+0,569.6645E-12,30.0010E+0,001C0360,
8.0330E+0,564.1118E-12,30.0011E+0,001C0360,
8.1261E+0,565.9627E-12,30.0010E+0,001C0360,
8.2192E+0,569.0335E-12,30.0011E+0,001C0360,
8.3123E+0,568.5287E-12,30.0010E+0,001C0360,
8.4055E+0,570.2955E-12,30.0011E+0,001C0360,
8.4986E+0,569.3701E-12,30.0011E+0,001C0360,
8.5918E+0,566.2151E-12,30.0011E+0,001C0360,
8.6849E+0,571.6836E-12,30.0012E+0,001C0360,
8.7780E+0,568.4025E-12,30.0011E+0,001C0360,
8.8711E+0,566.8040E-12,30.0012E+0,001C0360,
8.9643E+0,570.2955E-12,30.0011E+0,001C0360,
9.0574E+0,566.3413E-12,30.0012E+0,001C0360,
9.1505E+0,569.2859E-12,30.0011E+0,001C0360,
9.2436E+0,569.4121E-12,30.0011E+0,001C0360,
9.3368E+0,575.1751E-12,30.0011E+0,001C0360,
9.4299E+0,569.9590E-12,30.0012E+0,001C0360,
9.5230E+0,562.1768E-12,30.0011E+0,001C0360,
9.6162E+0,566.1730E-12,30.0012E+0,001C0360,
9.7093E+0,563.6070E-12,30.0011E+0,001C0360,
9.8024E+0,567.9398E-12,30.0011E+0,001C0360,
9.8956E+0,565.3738E-12,30.0011E+0,001C0360,
9.9887E+0,571.3892E-12,30.0011E+0,001C0360,
10.0819E+0,567.6874E-12,30.0012E+0,001C0360,
10.1750E+0,567.9818E-12,30.0012E+0,001C0360,
10.2681E+0,564.5745E-12,30.0012E+0,001C0360,
10.3612E+0,564.7848E-12,30.0011E+0,001C0360,
10.4544E+0,558.3067E-12,30.0013E+0,001C0360,
10.5475E+0,562.9340E-12,30.0012E+0,001C0360,
10.6406E+0,560.4100E-12,30.0012E+0,001C0360,
10.7337E+0,561.7982E-12,30.0011E+0,001C0360,
10.8269E+0,558.8115E-12,30.0012E+0,001C0360,
10.9200E+0,559.4004E-12,30.0010E+0,001C0360,
11.0131E+0,565.2055E-12,30.0012E+0,001C0360,
11.1063E+0,562.9340E-12,30.0011E+0,001C0360,
11.1994E+0,560.1155E-12,30.0012E+0,001C0360,
11.2925E+0,558.8956E-12,30.0011E+0,001C0360,
11.3856E+0,557.2971E-12,30.0011E+0,001C0360,
11.4788E+0,551.8285E-12,30.0011E+0,001C0360,
11.5719E+0,556.7082E-12,30.0011E+0,001C0360,
11.6651E+0,562.6816E-12,30.0011E+0,001C0360,
11.7582E+0,557.6337E-12,30.0010E+0,001C0360,
11.8513E+0,555.5303E-12,30.0012E+0,001C0360,
11.9445E+0,558.8956E-12,30.0011E+0,001C0360,
12.0376E+0,559.1901E-12,30.0012E+0,001C0360,
12.1308E+0,560.7465E-12,30.0011E+0,001C0360,
12.2239E+0,552.6699E-12,30.0012E+0,001C0360,
12.3170E+0,553.3429E-12,30.0010E+0,001C0360,
12.4101E+0,552.8802E-12,30.0011E+0,001C0360,
12.5033E+0,557.9702E-12,30.0010E+0,001C0360,
12.5964E+0,554.1843E-12,30.0011E+0,001C0360,
12.6895E+0,554.0580E-12,30.0011E+0,001C0360,
12.7827E+0,560.4521E-12,30.0012E+0,001C0360,
12.8758E+0,557.5074E-12,30.0012E+0,001C0360,
12.9690E+0,550.6928E-12,30.0011E+0,001C0360,
13.0621E+0,548.9260E-12,30.0011E+0,001C0360,
13.1552E+0,554.9834E-12,30.0012E+0,001C0360,
13.2484E+0,554.3525E-12,30.0012E+0,001C0360,
13.3415E+0,557.3813E-12,30.0010E+0,001C0360,
13.4346E+0,557.0447E-12,30.0012E+0,001C0360,
13.5277E+0,555.4462E-12,30.0011E+0,001C0360,
13.6209E+0,558.6012E-12,30.0012E+0,001C0360,
13.7140E+0,560.5362E-12,30.0011E+0,001C0360,
13.8071E+0,558.0543E-12,30.0012E+0,001C0360,
13.9002E+0,550.1039E-12,30.0011E+0,001C0360,
13.9934E+0,549.8514E-12,30.0012E+0,001C0360,
14.0865E+0,549.9355E-12,30.0010E+0,001C0360,
14.1796E+0,543.0368E-12,30.0012E+0,001C0360,
14.2727E+0,543.8360E-12,30.0011E+0,001C0360,
14.3659E+0,549.3466E-12,30.0011E+0,001C0360,
14.4590E+0,542.7844E-12,30.0011E+0,001C0360,
14.5521E+0,544.6353E-12,30.0012E+0,001C0360,
14.6453E+0,540.1763E-12,30.0012E+0,001C0360,
14.7384E+0,544.5932E-12,30.0011E+0,001C0360,
14.8316E+0,544.8035E-12,30.0012E+0,001C0360,
14.9247E+0,547.1592E-12,30.0011E+0,001C0360,
15.0178E+0,542.9526E-12,30.0012E+0,001C0360,
15.1110E+0,541.6907E-12,30.0011E+0,001C0360,
15.2041E+0,542.0272E-12,30.0012E+0,001C0360,
15.2973E+0,549.8935E-12,30.0011E+0,001C0360,
15.3904E+0,552.1650E-12,30.0011E+0,001C0360,
15.4835E+0,547.2013E-12,30.0011E+0,001C0360,
15.5766E+0,539.3770E-12,30.0011E+0,001C0360,
15.6698E+0,545.4766E-12,30.0011E+0,001C0360,
15.7629E+0,542.9526E-12,30.0011E+0,001C0360,
15.8561E+0,544.2567E-12,30.0011E+0,001C0360,
15.9492E+0,547.1171E-12,30.0012E+0,001C0360,
16.0423E+0,542.8685E-12,30.0012E+0,001C0360,
16.1354E+0,545.8131E-12,30.0011E+0,001C0360,
16.2286E+0,540.8073E-12,30.0011E+0,001C0360,
16.3217E+0,548.0846E-12,30.0011E+0,001C0360,
16.4149E+0,542.1113E-12,30.0012E+0,001C0360,
16.5080E+0,543.8781E-12,30.0010E+0,001C0360,
16.6011E+0,540.6390E-12,30.0012E+0,001C0360,
16.6943E+0,539.6715E-12,30.0011E+0,001C0360,
16.7874E+0,540.6390E-12,30.0012E+0,001C0360,
16.8806E+0,538.4095E-12,30.0010E+0,001C0360,
16.9737E+0,537.4420E-12,30.0013E+0,001C0360,
17.0669E+0,539.5874E-12,30.0011E+0,001C0360,
17.1600E+0,547.9585E-12,30.0012E+0,001C0360,
17.2532E+0,540.8073E-12,30.0011E+0,001C0360,
17.3463E+0,544.3829E-12,30.0012E+0,001C0360,
17.4394E+0,543.3312E-12,30.0011E+0,001C0360,
17.5326E+0,541.3541E-12,30.0012E+0,001C0360,
17.6257E+0,537.9468E-12,30.0012E+0,001C0360,
17.7188E+0,536.0959E-12,30.0011E+0,001C0360,
17.8119E+0,548.2950E-12,30.0011E+0,001C0360,
17.9051E+0,543.3312E-12,30.0012E+0,001C0360,
17.9982E+0,539.1246E-12,30.0012E+0,001C0360,
18.0913E+0,538.4936E-12,30.0011E+0,001C0360,
18.1845E+0,541.3962E-12,30.0012E+0,001C0360,
