Time,AI,AV,SMU1_S,RES
23.5145E-3,-1.6780E-9,-30.0021E+0,001C0360,
116.6077E-3,-1.6144E-9,-30.0022E+0,001C0360,
209.7476E-3,-1.5745E-9,-30.0021E+0,001C0360,
302.9009E-3,-1.5527E-9,-30.0021E+0,001C0360,
396.0027E-3,-1.5479E-9,-30.0021E+0,001C0360,
489.1303E-3,-1.5366E-9,-30.0021E+0,001C0360,
582.2425E-3,-1.5199E-9,-30.0021E+0,001C0360,
675.3892E-3,-1.5205E-9,-30.0021E+0,001C0360,
768.5100E-3,-1.5128E-9,-30.0022E+0,001C0360,
861.6223E-3,-1.5131E-9,-30.0021E+0,001C0360,
954.7880E-3,-1.5078E-9,-30.0021E+0,001C0360,
1.0479E+0,-1.4991E-9,-30.0021E+0,001C0360,
1.1410E+0,-1.4918E-9,-30.0021E+0,001C0360,
1.2342E+0,-1.4931E-9,-30.0021E+0,001C0360,
1.3273E+0,-1.4831E-9,-30.0022E+0,001C0360,
1.4205E+0,-1.4850E-9,-30.0020E+0,001C0360,
1.5136E+0,-1.4741E-9,-30.0022E+0,001C0360,
1.6067E+0,-1.4755E-9,-30.0021E+0,001C0360,
1.6998E+0,-1.4681E-9,-30.0022E+0,001C0360,
1.7930E+0,-1.4649E-9,-30.0021E+0,001C0360,
1.8861E+0,-1.4638E-9,-30.0022E+0,001C0360,
1.9792E+0,-1.4585E-9,-30.0021E+0,001C0360,
2.0724E+0,-1.4606E-9,-30.0021E+0,001C0360,
2.1655E+0,-1.4571E-9,-30.0022E+0,001C0360,
2.2587E+0,-1.4605E-9,-30.0021E+0,001C0360,
2.3518E+0,-1.4513E-9,-30.0022E+0,001C0360,
2.4449E+0,-1.4520E-9,-30.0021E+0,001C0360,
2.5381E+0,-1.4456E-9,-30.0022E+0,001C0360,
2.6312E+0,-1.4428E-9,-30.0021E+0,001C0360,
2.7244E+0,-1.4425E-9,-30.0022E+0,001C0360,
2.8175E+0,-1.4360E-9,-30.0021E+0,001C0360,
2.9106E+0,-1.4363E-9,-30.0021E+0,001C0360,
3.0038E+0,-1.4248E-9,-30.0021E+0,001C0360,
3.0969E+0,-1.4353E-9,-30.0022E+0,001C0360,
3.1901E+0,-1.4338E-9,-30.0021E+0,001C0360,
3.2832E+0,-1.4344E-9,-30.0021E+0,001C0360,
3.3763E+0,-1.4340E-9,-30.0021E+0,001C0360,
3.4694E+0,-1.4327E-9,-30.0021E+0,001C0360,
3.5625E+0,-1.4288E-9,-30.0022E+0,001C0360,
3.6557E+0,-1.4253E-9,-30.0020E+0,001C0360,
3.7488E+0,-1.4254E-9,-30.0021E+0,001C0360,
3.8420E+0,-1.4288E-9,-30.0021E+0,001C0360,
3.9351E+0,-1.4302E-9,-30.0022E+0,001C0360,
4.0283E+0,-1.4286E-9,-30.0021E+0,001C0360,
4.1214E+0,-1.4257E-9,-30.0021E+0,001C0360,
4.2145E+0,-1.4221E-9,-30.0021E+0,001C0360,
4.3077E+0,-1.4249E-9,-30.0021E+0,001C0360,
4.4008E+0,-1.4250E-9,-30.0022E+0,001C0360,
4.4940E+0,-1.4250E-9,-30.0021E+0,001C0360,
4.5871E+0,-1.4204E-9,-30.0022E+0,001C0360,
4.6802E+0,-1.4152E-9,-30.0021E+0,001C0360,
4.7734E+0,-1.4182E-9,-30.0021E+0,001C0360,
4.8665E+0,-1.4150E-9,-30.0020E+0,001C0360,
4.9597E+0,-1.4162E-9,-30.0022E+0,001C0360,
5.0528E+0,-1.4074E-9,-30.0021E+0,001C0360,
5.1460E+0,-1.4153E-9,-30.0021E+0,001C0360,
5.2391E+0,-1.4088E-9,-30.0021E+0,001C0360,
5.3322E+0,-1.4079E-9,-30.0022E+0,001C0360,
5.4254E+0,-1.4030E-9,-30.0021E+0,001C0360,
5.5185E+0,-1.4072E-9,-30.0021E+0,001C0360,
5.6117E+0,-1.3986E-9,-30.0021E+0,001C0360,
5.7048E+0,-1.4035E-9,-30.0021E+0,001C0360,
5.7980E+0,-1.4018E-9,-30.0021E+0,001C0360,
5.8911E+0,-1.3994E-9,-30.0021E+0,001C0360,
5.9842E+0,-1.3992E-9,-30.0021E+0,001C0360,
6.0773E+0,-1.4005E-9,-30.0020E+0,001C0360,
6.1705E+0,-1.3994E-9,-30.0022E+0,001C0360,
6.2636E+0,-1.3909E-9,-30.0021E+0,001C0360,
