AI,AV
-3.96E-10,-9.00E+00
-4.08E-10,-9.50E+00
-4.28E-10,-1.00E+01
-4.32E-10,-1.05E+01
-4.59E-10,-1.10E+01
-4.69E-10,-1.15E+01
-4.83E-10,-1.20E+01
-4.92E-10,-1.25E+01
-5.05E-10,-1.30E+01
-5.28E-10,-1.35E+01
-5.39E-10,-1.40E+01
-5.52E-10,-1.45E+01
-5.66E-10,-1.50E+01
-5.79E-10,-1.55E+01
-5.94E-10,-1.60E+01
-6.18E-10,-1.65E+01
-6.25E-10,-1.70E+01
-6.50E-10,-1.75E+01
-6.72E-10,-1.80E+01
-6.96E-10,-1.85E+01
-7.17E-10,-1.90E+01
-7.30E-10,-1.95E+01
-7.53E-10,-2.00E+01
-7.80E-10,-2.05E+01
-7.94E-10,-2.10E+01
-8.18E-10,-2.15E+01
-8.34E-10,-2.20E+01
-8.60E-10,-2.25E+01
-8.94E-10,-2.30E+01
-9.22E-10,-2.35E+01
-9.44E-10,-2.40E+01
-9.69E-10,-2.45E+01
-9.97E-10,-2.50E+01
-1.03E-09,-2.55E+01
-1.07E-09,-2.60E+01
-1.10E-09,-2.65E+01
-1.14E-09,-2.70E+01
-1.17E-09,-2.75E+01
-1.20E-09,-2.80E+01
-1.23E-09,-2.85E+01
-1.27E-09,-2.90E+01
-1.30E-09,-2.95E+01
-1.34E-09,-3.00E+01
