Time,AI,AV,SMU1_S,RES
23.4668E-3,5.4290E-9,38.1807E+0,001C0360,
116.5400E-3,4.4823E-9,38.1795E+0,001C0360,
209.6447E-3,3.9835E-9,38.1792E+0,001C0360,
302.7370E-3,3.7226E-9,38.1781E+0,001C0360,
395.8426E-3,3.5286E-9,38.1772E+0,001C0360,
488.9311E-3,3.3873E-9,38.1761E+0,001C0360,
582.0462E-3,3.2894E-9,38.1749E+0,001C0360,
675.1585E-3,3.2184E-9,38.1740E+0,001C0360,
768.2403E-3,3.1283E-9,38.1729E+0,001C0360,
861.3945E-3,3.0785E-9,38.1718E+0,001C0360,
954.5116E-3,3.0403E-9,38.1714E+0,001C0360,
1.0476E+0,2.9956E-9,38.1703E+0,001C0360,
1.1408E+0,2.9642E-9,38.1694E+0,001C0360,
1.2339E+0,2.9252E-9,38.1688E+0,001C0360,
1.3270E+0,2.8949E-9,38.1682E+0,001C0360,
1.4201E+0,2.8814E-9,38.1672E+0,001C0360,
1.5132E+0,2.8572E-9,38.1672E+0,001C0360,
1.6063E+0,2.8039E-9,38.1663E+0,001C0360,
1.6994E+0,2.8124E-9,38.1657E+0,001C0360,
1.7926E+0,2.8032E-9,38.1653E+0,001C0360,
1.8857E+0,2.7871E-9,38.1645E+0,001C0360,
1.9788E+0,2.7651E-9,38.1640E+0,001C0360,
2.0719E+0,2.7447E-9,38.1638E+0,001C0360,
2.1650E+0,2.7202E-9,38.1632E+0,001C0360,
2.2582E+0,2.7189E-9,38.1628E+0,001C0360,
2.3513E+0,2.7171E-9,38.1625E+0,001C0360,
2.4444E+0,2.6916E-9,38.1621E+0,001C0360,
2.5375E+0,2.6875E-9,38.1614E+0,001C0360,
2.6306E+0,2.6818E-9,38.1616E+0,001C0360,
2.7237E+0,2.6535E-9,38.1611E+0,001C0360,
2.8168E+0,2.6582E-9,38.1608E+0,001C0360,
2.9099E+0,2.6472E-9,38.1607E+0,001C0360,
3.0030E+0,2.6340E-9,38.1602E+0,001C0360,
3.0961E+0,2.6171E-9,38.1599E+0,001C0360,
3.1892E+0,2.6141E-9,38.1598E+0,001C0360,
3.2823E+0,2.6054E-9,38.1594E+0,001C0360,
3.3754E+0,2.5985E-9,38.1592E+0,001C0360,
3.4685E+0,2.5979E-9,38.1592E+0,001C0360,
3.5616E+0,2.5759E-9,38.1588E+0,001C0360,
3.6547E+0,2.5845E-9,38.1585E+0,001C0360,
3.7478E+0,2.5784E-9,38.1587E+0,001C0360,
3.8409E+0,2.5689E-9,38.1580E+0,001C0360,
3.9341E+0,2.5631E-9,38.1582E+0,001C0360,
4.0272E+0,2.5439E-9,38.1582E+0,001C0360,
4.1203E+0,2.5274E-9,38.1576E+0,001C0360,
4.2134E+0,2.5247E-9,38.1574E+0,001C0360,
4.3065E+0,2.5275E-9,38.1576E+0,001C0360,
4.3997E+0,2.5409E-9,38.1575E+0,001C0360,
4.4927E+0,2.5272E-9,38.1571E+0,001C0360,
4.5858E+0,2.5136E-9,38.1572E+0,001C0360,
4.6789E+0,2.4949E-9,38.1569E+0,001C0360,
4.7720E+0,2.5047E-9,38.1566E+0,001C0360,
4.8651E+0,2.5039E-9,38.1567E+0,001C0360,
4.9582E+0,2.4896E-9,38.1564E+0,001C0360,
5.0513E+0,2.4876E-9,38.1560E+0,001C0360,
5.1444E+0,2.4845E-9,38.1562E+0,001C0360,
5.2375E+0,2.4774E-9,38.1559E+0,001C0360,
5.3306E+0,2.4711E-9,38.1556E+0,001C0360,
5.4238E+0,2.4728E-9,38.1561E+0,001C0360,
5.5169E+0,2.4874E-9,38.1558E+0,001C0360,
5.6100E+0,2.4601E-9,38.1555E+0,001C0360,
5.7031E+0,2.4610E-9,38.1562E+0,001C0360,
5.7962E+0,2.4466E-9,38.1557E+0,001C0360,
5.8893E+0,2.4310E-9,38.1553E+0,001C0360,
5.9824E+0,2.4477E-9,38.1555E+0,001C0360,
6.0755E+0,2.4200E-9,38.1550E+0,001C0360,
6.1686E+0,2.4285E-9,38.1549E+0,001C0360,
6.2617E+0,2.4190E-9,38.1552E+0,001C0360,
6.3548E+0,2.4050E-9,38.1549E+0,001C0360,
6.4478E+0,2.4036E-9,38.1549E+0,001C0360,
6.5409E+0,2.4054E-9,38.1551E+0,001C0360,
6.6340E+0,2.3960E-9,38.1547E+0,001C0360,
6.7270E+0,2.3727E-9,38.1545E+0,001C0360,
6.8201E+0,2.3977E-9,38.1545E+0,001C0360,
6.9132E+0,2.3873E-9,38.1543E+0,001C0360,
7.0063E+0,2.3862E-9,38.1544E+0,001C0360,
7.0994E+0,2.3890E-9,38.1543E+0,001C0360,
7.1925E+0,2.3691E-9,38.1543E+0,001C0360,
7.2856E+0,2.3693E-9,38.1541E+0,001C0360,
7.3787E+0,2.3683E-9,38.1544E+0,001C0360,
7.4718E+0,2.3620E-9,38.1539E+0,001C0360,
7.5648E+0,2.3547E-9,38.1539E+0,001C0360,
7.6579E+0,2.3459E-9,38.1540E+0,001C0360,
7.7510E+0,2.3391E-9,38.1538E+0,001C0360,
7.8442E+0,2.3426E-9,38.1536E+0,001C0360,
7.9372E+0,2.3510E-9,38.1536E+0,001C0360,
8.0303E+0,2.3468E-9,38.1539E+0,001C0360,
8.1234E+0,2.3257E-9,38.1535E+0,001C0360,
8.2165E+0,2.3307E-9,38.1537E+0,001C0360,
8.3096E+0,2.3223E-9,38.1535E+0,001C0360,
8.4028E+0,2.3113E-9,38.1534E+0,001C0360,
8.4959E+0,2.3123E-9,38.1537E+0,001C0360,
8.5890E+0,2.3099E-9,38.1533E+0,001C0360,
8.6821E+0,2.3189E-9,38.1532E+0,001C0360,
8.7752E+0,2.3070E-9,38.1532E+0,001C0360,
8.8683E+0,2.2870E-9,38.1533E+0,001C0360,
8.9614E+0,2.2987E-9,38.1532E+0,001C0360,
9.0545E+0,2.2795E-9,38.1534E+0,001C0360,
9.1476E+0,2.2752E-9,38.1533E+0,001C0360,
9.2408E+0,2.2814E-9,38.1530E+0,001C0360,
9.3338E+0,2.2765E-9,38.1533E+0,001C0360,
9.4269E+0,2.2778E-9,38.1532E+0,001C0360,
9.5200E+0,2.2648E-9,38.1530E+0,001C0360,
9.6131E+0,2.2716E-9,38.1531E+0,001C0360,
9.7062E+0,2.2634E-9,38.1529E+0,001C0360,
9.7993E+0,2.2654E-9,38.1527E+0,001C0360,
9.8923E+0,2.2688E-9,38.1530E+0,001C0360,
9.9854E+0,2.2543E-9,38.1526E+0,001C0360,
10.0785E+0,2.2447E-9,38.1527E+0,001C0360,
10.1716E+0,2.2471E-9,38.1531E+0,001C0360,
10.2647E+0,2.2386E-9,38.1528E+0,001C0360,
10.3577E+0,2.2335E-9,38.1526E+0,001C0360,
10.4508E+0,2.2410E-9,38.1529E+0,001C0360,
10.5439E+0,2.2342E-9,38.1527E+0,001C0360,
10.6370E+0,2.2254E-9,38.1525E+0,001C0360,
10.7301E+0,2.2242E-9,38.1525E+0,001C0360,
10.8232E+0,2.2235E-9,38.1527E+0,001C0360,
10.9163E+0,2.2116E-9,38.1524E+0,001C0360,
11.0094E+0,2.2152E-9,38.1523E+0,001C0360,
11.1025E+0,2.2064E-9,38.1527E+0,001C0360,
11.1955E+0,2.2083E-9,38.1524E+0,001C0360,
11.2887E+0,2.1984E-9,38.1521E+0,001C0360,
11.3817E+0,2.2089E-9,38.1522E+0,001C0360,
11.4748E+0,2.1928E-9,38.1521E+0,001C0360,
11.5680E+0,2.1664E-9,38.1521E+0,001C0360,
11.6611E+0,2.1911E-9,38.1521E+0,001C0360,
11.7542E+0,2.1955E-9,38.1520E+0,001C0360,
11.8473E+0,2.1956E-9,38.1519E+0,001C0360,
11.9404E+0,2.1844E-9,38.1521E+0,001C0360,
12.0335E+0,2.1820E-9,38.1522E+0,001C0360,
12.1266E+0,2.1812E-9,38.1520E+0,001C0360,
12.2197E+0,2.1732E-9,38.1519E+0,001C0360,
12.3128E+0,2.1720E-9,38.1517E+0,001C0360,
12.4059E+0,2.1622E-9,38.1517E+0,001C0360,
12.4990E+0,2.1621E-9,38.1517E+0,001C0360,
12.5921E+0,2.1577E-9,38.1517E+0,001C0360,
12.6852E+0,2.1613E-9,38.1516E+0,001C0360,
12.7783E+0,2.1659E-9,38.1516E+0,001C0360,
12.8714E+0,2.1569E-9,38.1515E+0,001C0360,
12.9646E+0,2.1471E-9,38.1515E+0,001C0360,
13.0577E+0,2.1601E-9,38.1515E+0,001C0360,
13.1508E+0,2.1418E-9,38.1514E+0,001C0360,
13.2439E+0,2.1458E-9,38.1512E+0,001C0360,
13.3370E+0,2.1447E-9,38.1515E+0,001C0360,
13.4301E+0,2.1394E-9,38.1513E+0,001C0360,
13.5232E+0,2.1371E-9,38.1510E+0,001C0360,
13.6164E+0,2.1321E-9,38.1514E+0,001C0360,
13.7095E+0,2.1149E-9,38.1513E+0,001C0360,
13.8026E+0,2.1241E-9,38.1511E+0,001C0360,
13.8957E+0,2.1197E-9,38.1513E+0,001C0360,
13.9888E+0,2.1254E-9,38.1514E+0,001C0360,
14.0819E+0,2.1040E-9,38.1511E+0,001C0360,
14.1751E+0,2.1097E-9,38.1513E+0,001C0360,
14.2681E+0,2.1142E-9,38.1512E+0,001C0360,
14.3612E+0,2.1103E-9,38.1511E+0,001C0360,
14.4544E+0,2.1121E-9,38.1514E+0,001C0360,
14.5475E+0,2.0999E-9,38.1514E+0,001C0360,
14.6406E+0,2.0993E-9,38.1510E+0,001C0360,
14.7337E+0,2.1092E-9,38.1511E+0,001C0360,
14.8268E+0,2.1058E-9,38.1510E+0,001C0360,
14.9200E+0,2.0853E-9,38.1508E+0,001C0360,
15.0131E+0,2.1007E-9,38.1512E+0,001C0360,
15.1062E+0,2.0734E-9,38.1510E+0,001C0360,
15.1993E+0,2.0741E-9,38.1510E+0,001C0360,
15.2924E+0,2.0868E-9,38.1514E+0,001C0360,
15.3855E+0,2.0761E-9,38.1508E+0,001C0360,
15.4785E+0,2.0708E-9,38.1510E+0,001C0360,
15.5716E+0,2.0747E-9,38.1511E+0,001C0360,
15.6647E+0,2.0670E-9,38.1510E+0,001C0360,
15.7578E+0,2.0608E-9,38.1510E+0,001C0360,
15.8509E+0,2.0656E-9,38.1512E+0,001C0360,
15.9440E+0,2.0736E-9,38.1510E+0,001C0360,
16.0371E+0,2.0560E-9,38.1508E+0,001C0360,
16.1302E+0,2.0651E-9,38.1508E+0,001C0360,
16.2233E+0,2.0509E-9,38.1507E+0,001C0360,
16.3164E+0,2.0456E-9,38.1507E+0,001C0360,
16.4095E+0,2.0482E-9,38.1514E+0,001C0360,
16.5026E+0,2.0395E-9,38.1508E+0,001C0360,
16.5957E+0,2.0400E-9,38.1507E+0,001C0360,
16.6887E+0,2.0340E-9,38.1508E+0,001C0360,
16.7818E+0,2.0282E-9,38.1507E+0,001C0360,
16.8749E+0,2.0318E-9,38.1505E+0,001C0360,
16.9679E+0,2.0307E-9,38.1507E+0,001C0360,
17.0611E+0,2.0479E-9,38.1506E+0,001C0360,
17.1541E+0,2.0307E-9,38.1506E+0,001C0360,
17.2472E+0,2.0233E-9,38.1507E+0,001C0360,
17.3403E+0,2.0129E-9,38.1508E+0,001C0360,
17.4334E+0,2.0163E-9,38.1505E+0,001C0360,
17.5265E+0,2.0230E-9,38.1506E+0,001C0360,
17.6196E+0,2.0045E-9,38.1506E+0,001C0360,
