AI,AV
-3.60E-10,-9.00E+00
-3.71E-10,-9.50E+00
-3.83E-10,-1.00E+01
-3.94E-10,-1.05E+01
-4.12E-10,-1.10E+01
-4.34E-10,-1.15E+01
-4.44E-10,-1.20E+01
-4.56E-10,-1.25E+01
-4.70E-10,-1.30E+01
-4.82E-10,-1.35E+01
-4.91E-10,-1.40E+01
-5.07E-10,-1.45E+01
-5.23E-10,-1.50E+01
-5.33E-10,-1.55E+01
-5.41E-10,-1.60E+01
-5.74E-10,-1.65E+01
-5.87E-10,-1.70E+01
-6.00E-10,-1.75E+01
-6.25E-10,-1.80E+01
-6.43E-10,-1.85E+01
-6.61E-10,-1.90E+01
-6.78E-10,-1.95E+01
-6.90E-10,-2.00E+01
-7.09E-10,-2.05E+01
-7.38E-10,-2.10E+01
-7.60E-10,-2.15E+01
-7.87E-10,-2.20E+01
-8.18E-10,-2.25E+01
-8.32E-10,-2.30E+01
-8.51E-10,-2.35E+01
-8.81E-10,-2.40E+01
-9.13E-10,-2.45E+01
-9.51E-10,-2.50E+01
-9.71E-10,-2.55E+01
-9.98E-10,-2.60E+01
-1.02E-09,-2.65E+01
-1.06E-09,-2.70E+01
-1.09E-09,-2.75E+01
-1.12E-09,-2.80E+01
-1.15E-09,-2.85E+01
-1.18E-09,-2.90E+01
-1.22E-09,-2.95E+01
-1.26E-09,-3.00E+01
