Time,AI,AV,SMU1_S,RES
23.4487E-3,880.6313E-12,30.0014E+0,001C0360,
116.5800E-3,805.4162E-12,30.0013E+0,001C0360,
209.7286E-3,768.4397E-12,30.0013E+0,001C0360,
302.8590E-3,747.4906E-12,30.0013E+0,001C0360,
395.9875E-3,726.4153E-12,30.0013E+0,001C0360,
489.1503E-3,710.7244E-12,30.0014E+0,001C0360,
582.2797E-3,708.3266E-12,30.0013E+0,001C0360,
675.4187E-3,700.2919E-12,30.0014E+0,001C0360,
768.5453E-3,686.3257E-12,30.0013E+0,001C0360,
861.6871E-3,687.2933E-12,30.0014E+0,001C0360,
954.8242E-3,673.6217E-12,30.0013E+0,001C0360,
1.0480E+0,675.9774E-12,30.0014E+0,001C0360,
1.1411E+0,670.2563E-12,30.0013E+0,001C0360,
1.2343E+0,667.7744E-12,30.0014E+0,001C0360,
1.3274E+0,669.3309E-12,30.0013E+0,001C0360,
1.4205E+0,657.4681E-12,30.0014E+0,001C0360,
1.5136E+0,661.3803E-12,30.0013E+0,001C0360,
1.6068E+0,664.0725E-12,30.0014E+0,001C0360,
1.6999E+0,663.8201E-12,30.0013E+0,001C0360,
1.7931E+0,661.7168E-12,30.0014E+0,001C0360,
1.8862E+0,660.7073E-12,30.0013E+0,001C0360,
1.9793E+0,657.3419E-12,30.0014E+0,001C0360,
2.0725E+0,649.5175E-12,30.0013E+0,001C0360,
2.1656E+0,650.6112E-12,30.0014E+0,001C0360,
2.2587E+0,652.1256E-12,30.0013E+0,001C0360,
2.3519E+0,649.2651E-12,30.0014E+0,001C0360,
2.4450E+0,646.1522E-12,30.0013E+0,001C0360,
2.5382E+0,643.8806E-12,30.0014E+0,001C0360,
2.6313E+0,649.3913E-12,30.0013E+0,001C0360,
2.7244E+0,644.3013E-12,30.0014E+0,001C0360,
2.8176E+0,642.8290E-12,30.0013E+0,001C0360,
2.9107E+0,635.7196E-12,30.0014E+0,001C0360,
3.0038E+0,637.1079E-12,30.0013E+0,001C0360,
3.0970E+0,644.0909E-12,30.0014E+0,001C0360,
3.1901E+0,637.9913E-12,30.0013E+0,001C0360,
3.2832E+0,639.4216E-12,30.0014E+0,001C0360,
3.3764E+0,640.4311E-12,30.0013E+0,001C0360,
3.4695E+0,634.4577E-12,30.0014E+0,001C0360,
3.5627E+0,638.8326E-12,30.0013E+0,001C0360,
3.6558E+0,637.5285E-12,30.0014E+0,001C0360,
3.7489E+0,636.0141E-12,30.0013E+0,001C0360,
3.8420E+0,633.1536E-12,30.0014E+0,001C0360,
3.9352E+0,635.5935E-12,30.0013E+0,001C0360,
4.0283E+0,640.2208E-12,30.0014E+0,001C0360,
4.1214E+0,636.6873E-12,30.0013E+0,001C0360,
4.2146E+0,632.6488E-12,30.0014E+0,001C0360,
4.3077E+0,632.8591E-12,30.0012E+0,001C0360,
4.4008E+0,635.3831E-12,30.0014E+0,001C0360,
4.4939E+0,635.8459E-12,30.0013E+0,001C0360,
4.5871E+0,626.7595E-12,30.0014E+0,001C0360,
4.6802E+0,629.9565E-12,30.0013E+0,001C0360,
4.7734E+0,627.4746E-12,30.0015E+0,001C0360,
4.8665E+0,617.6731E-12,30.0013E+0,001C0360,
4.9597E+0,616.5374E-12,30.0014E+0,001C0360,
5.0528E+0,614.8126E-12,30.0013E+0,001C0360,
5.1460E+0,621.7115E-12,30.0014E+0,001C0360,
5.2391E+0,618.5986E-12,30.0013E+0,001C0360,
5.3322E+0,620.6178E-12,30.0014E+0,001C0360,
5.4254E+0,617.2104E-12,30.0013E+0,001C0360,
5.5185E+0,618.5986E-12,30.0014E+0,001C0360,
5.6117E+0,622.5949E-12,30.0013E+0,001C0360,
5.7048E+0,614.6864E-12,30.0014E+0,001C0360,
5.7979E+0,620.9543E-12,30.0013E+0,001C0360,
5.8910E+0,615.0229E-12,30.0014E+0,001C0360,
5.9842E+0,617.5469E-12,30.0013E+0,001C0360,
6.0774E+0,614.9388E-12,30.0014E+0,001C0360,
6.1705E+0,611.6155E-12,30.0013E+0,001C0360,
6.2636E+0,608.2502E-12,30.0014E+0,001C0360,
6.3568E+0,617.0842E-12,30.0013E+0,001C0360,
6.4500E+0,605.3476E-12,30.0014E+0,001C0360,
6.5431E+0,611.0266E-12,30.0013E+0,001C0360,
6.6362E+0,607.4509E-12,30.0014E+0,001C0360,
6.7294E+0,612.8775E-12,30.0013E+0,001C0360,
6.8225E+0,612.5410E-12,30.0014E+0,001C0360,
6.9156E+0,614.1815E-12,30.0013E+0,001C0360,
7.0088E+0,609.6805E-12,30.0014E+0,001C0360,
7.1019E+0,605.9786E-12,30.0013E+0,001C0360,
7.1950E+0,604.5063E-12,30.0014E+0,001C0360,
7.2882E+0,609.8908E-12,30.0013E+0,001C0360,
7.3813E+0,607.1564E-12,30.0014E+0,001C0360,
7.4744E+0,602.9919E-12,30.0014E+0,001C0360,
7.5676E+0,602.5712E-12,30.0014E+0,001C0360,
7.6607E+0,602.7815E-12,30.0013E+0,001C0360,
7.7538E+0,607.1986E-12,30.0014E+0,001C0360,
7.8470E+0,600.9727E-12,30.0013E+0,001C0360,
7.9401E+0,602.4450E-12,30.0013E+0,001C0360,
8.0332E+0,605.6420E-12,30.0013E+0,001C0360,
8.1264E+0,603.5388E-12,30.0014E+0,001C0360,
8.2195E+0,595.9668E-12,30.0013E+0,001C0360,
8.3126E+0,598.2804E-12,30.0014E+0,001C0360,
8.4058E+0,593.3166E-12,30.0014E+0,001C0360,
8.4989E+0,602.9078E-12,30.0014E+0,001C0360,
8.5921E+0,602.7395E-12,30.0014E+0,001C0360,
8.6852E+0,595.2096E-12,30.0014E+0,001C0360,
8.7783E+0,600.3417E-12,30.0013E+0,001C0360,
8.8715E+0,600.4680E-12,30.0014E+0,001C0360,
8.9646E+0,596.6398E-12,30.0014E+0,001C0360,
9.0577E+0,596.6398E-12,30.0013E+0,001C0360,
9.1509E+0,591.8442E-12,30.0014E+0,001C0360,
9.2440E+0,591.9283E-12,30.0013E+0,001C0360,
9.3371E+0,593.2745E-12,30.0014E+0,001C0360,
9.4303E+0,598.9956E-12,30.0014E+0,001C0360,
9.5234E+0,598.8273E-12,30.0014E+0,001C0360,
9.6165E+0,598.7852E-12,30.0014E+0,001C0360,
9.7097E+0,599.5003E-12,30.0014E+0,001C0360,
9.8028E+0,598.8693E-12,30.0014E+0,001C0360,
9.8960E+0,594.4103E-12,30.0014E+0,001C0360,
9.9891E+0,596.8922E-12,30.0013E+0,001C0360,
10.0822E+0,593.9896E-12,30.0015E+0,001C0360,
